score cell_id typeofdata sample w6 w5 w4 w3 w2 w1 pintro network xintro wmin map exec iters reps optimfunc law yintro mu seed lambda sigma gamma humanactivity
158.672 1535 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.0154091780591 0.0466019378213 0.773874447509 0.956589981231 1.0 ./input/network.txt 52953.9978619 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 51866.047207 27.8780917427 10019 8.82822208175 0.362080877835 0.0 NO
150.003 1933 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.00438328973087 0.0656374746248 0.931384340798 0.658545868454 1.0 ./input/network.txt 36055.6672738 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 66117.6747729 13.0551970732 1002 10.1993998326 2.10651080226 0.0 NO
151.871 1810 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.0131913622166 0.0645845475225 0.971337387595 0.449766256901 1.0 ./input/network.txt 22288.5622125 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 62817.2569879 22.5093677717 10115 10.5952061843 1.22823354075 0.0 NO
155.126 1987 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.0128263657138 0.538891684032 0.98322892061 0.283305676583 1.0 ./input/network.txt 28171.3672241 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 67938.3440771 4.3257602759 10135 13.5592267867 2.0592435929 0.0 NO
154.552 1925 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.0974364719963 0.889246428222 0.997793606586 0.940579923454 1.0 ./input/network.txt 20720.8960605 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 65544.8113906 10.3747880235 10142 11.287871671 0.553662746241 0.0 NO
150.727 1929 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.0123167038724 0.0582753399602 0.759483628707 0.496398686924 1.0 ./input/network.txt 28574.568365 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 65888.1573311 15.3926426564 10149 9.34238906355 1.07610064715 0.0 NO
150.838 1929 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.00984301948663 0.0328277898586 0.252644087359 0.174468098996 1.0 ./input/network.txt 27591.738025 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 65283.7151927 15.2785925725 10166 9.96932574849 1.28965536464 0.0 NO
151.345 1933 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.015663399185 0.0471672970015 0.45105475092 0.924796130846 1.0 ./input/network.txt 36988.7253173 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 66106.9429628 7.96446743715 10167 11.2335765107 2.40539452554 0.0 NO
152.943 1926 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.0816951774138 0.112331555983 0.547311290799 0.836912638935 1.0 ./input/network.txt 21653.5038301 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 65892.937629 13.0784827904 10182 10.2695904539 0.863734282538 0.0 NO
150.254 1929 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.00718729927514 0.0642120084197 0.927167122906 0.461042631092 1.0 ./input/network.txt 27918.4267022 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 65391.796524 7.77771114554 1019 11.2576482367 1.71653515434 0.0 NO
151.142 1868 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.0368502357928 0.154851972543 0.832633466139 0.565870113 1.0 ./input/network.txt 21108.6164847 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 64002.6456824 10.5769670328 10236 10.4846992733 1.04453401233 0.0 NO
150.74 1874 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.00751773158921 0.110034827556 0.766659151409 0.642893063271 1.0 ./input/network.txt 33591.5696627 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 64266.8088474 14.9611746181 10248 10.3011745039 2.19939775205 0.0 NO
