score cell_id typeofdata sample w6 w5 w4 w3 w2 w1 pintro network xintro wmin map exec iters reps optimfunc law yintro mu seed lambda sigma gamma humanactivity
158.862 1191 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.0158859514445 0.0576407050203 0.251048159938 0.544831640848 1.0 ./input/network.txt 60720.7429556 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 39791.1972955 8.98975268824 10002 15.2218844142 0.33263084438 0.0 YES
168.057 494 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.0438351872972 0.389003003166 0.970099573102 0.820309520144 1.0 ./input/network.txt 58220.2197063 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 16483.8701989 22.3147472712 10015 12.7810229351 0.46254113597 0.0 YES
167.0 1115 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.0818808629264 0.266382099978 0.808629749429 0.665075226822 1.0 ./input/network.txt 23768.4413461 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 38732.9989514 8.65116860449 10016 20.5396410592 0.43326858299 0.0 YES
157.873 958 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.00663363985203 0.0252199581771 0.0398534974148 0.422559724716 1.0 ./input/network.txt 57391.9573411 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 32753.0223536 7.58351641131 1002 22.053263261 0.128797698733 0.0 YES
172.275 678 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.521209803561 0.929272681972 0.839354931857 0.952757781398 1.0 ./input/network.txt 78350.092093 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 21647.9519964 9.14274131107 10102 24.1870040732 1.73641855802 0.0 YES
166.096 1074 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.0524594726073 0.730552875319 0.976077539941 0.70785711527 1.0 ./input/network.txt 58892.6168179 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 36306.217663 9.17062857753 1011 18.7268009877 0.950360424284 0.0 YES
167.754 1308 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.844670235694 0.112292872005 0.720131341881 0.572463007466 1.0 ./input/network.txt 61217.307866 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 43846.1307784 11.4545805257 10111 17.5403457687 0.111650561479 0.0 YES
160.918 955 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.0264457624356 0.107499924263 0.16414030153 0.739157608025 1.0 ./input/network.txt 51568.4240876 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 31302.6621267 6.18506248513 10114 11.403754599 0.878560632078 0.0 YES
173.79 508 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.401342887943 0.997027758491 0.69436418688 0.301510767908 1.0 ./input/network.txt 86543.432801 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 16553.1967209 14.9890501305 10136 29.0491469274 2.02013132461 0.0 YES
161.325 954 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.0230879719787 0.269003336765 0.0800041436287 0.737272225254 1.0 ./input/network.txt 49601.7110798 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 31565.3062642 9.34686714433 10162 12.3919700904 0.317473674618 0.0 YES
171.611 958 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.885924307233 0.558644260216 0.269860986463 0.211658603063 1.0 ./input/network.txt 57793.8643594 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 31766.7202726 20.6081722399 10244 18.3762011477 0.951918044896 0.0 YES
165.082 898 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.062468363361 0.81656838631 0.0463752812574 0.942647426521 1.0 ./input/network.txt 53044.1002595 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 30727.5996565 2.42327336726 10253 21.5168911726 2.48751516439 0.0 YES
167.047 1644 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.0887265032499 0.684256130712 0.369413198298 0.973813557398 1.0 ./input/network.txt 37723.4851173 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 55904.8396143 1.53068232208 10279 19.3608102176 2.44179439617 0.0 YES
162.05 1308 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.0303819674844 0.785279910428 0.571546940507 0.979772359876 1.0 ./input/network.txt 62936.9165957 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 44875.4883608 10.5940135775 10337 14.9802081344 0.152259612544 0.0 YES
167.506 608 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.126519463397 0.810173828547 0.0242694898508 0.98162869003 1.0 ./input/network.txt 54021.6710917 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 20083.4213253 20.2869284202 10446 14.2738206399 0.694223461605 0.0 YES
161.291 1306 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.048928261569 0.270620746313 0.985219179524 0.833368447154 1.0 ./input/network.txt 57685.4272569 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 43085.4555307 9.34108662489 10457 12.9556816002 0.323124572288 0.0 YES
162.94 955 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.0398917547064 0.405664163187 0.586398232257 0.930882647163 1.0 ./input/network.txt 51568.7130416 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 32314.704685 9.09182459895 10486 12.4619363157 0.62436237748 0.0 YES
163.213 959 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.0361862070653 0.29576364916 0.679501299779 0.813279201786 1.0 ./input/network.txt 59962.1152416 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 32451.6556221 11.3724453791 10527 18.9482940981 0.341543428806 0.0 YES
