id x y y_obs n_obs p_obs total_nb_intros mean_nb_intros var_nb_intros y_sim n_sim p_sim mean_first_invasion var_first_invasion mean_last_invasion var_last_invasion L empty_L max_L empty_score score
3944 114000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3943 112000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3942 110000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3941 108000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3940 106000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3939 104000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3938 102000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3937 100000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3936 98000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3935 96000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3934 94000 134000 0 0 0 1 0.001 0.000999 1 1000 0.001 23 0 23 0 151.295 409.024 33.4711 409.024 151.295
3933 92000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3932 90000 134000 0 0 0 1 0.001 0.000999 1 1000 0.001 24 0 24 0 151.295 409.024 33.4711 409.024 151.295
3931 88000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3930 86000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3929 84000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3928 82000 134000 0 0 0 3 0.003 0.004991 2 1000 0.002 18.5 2.25 20 9 151.295 409.024 33.4711 409.024 151.295
3927 80000 134000 0 0 0 1 0.001 0.000999 1 1000 0.001 20 0 20 0 151.295 409.024 33.4711 409.024 151.295
3926 78000 134000 0 0 0 3 0.003 0.008991 1 1000 0.001 18 0 23 0 151.295 409.024 33.4711 409.024 151.295
3925 76000 134000 0 0 0 4 0.004 0.007984 2 1000 0.002 14.5 56.25 20.5 12.25 151.295 409.024 33.4711 409.024 151.295
3924 74000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3923 72000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3922 70000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3921 68000 134000 0 0 0 1 0.001 0.000999 1 1000 0.001 21 0 21 0 151.295 409.024 33.4711 409.024 151.295
3920 66000 134000 0 0 0 8 0.008 0.015936 5 1000 0.005 18.6 29.04 20 16 151.295 409.024 33.4711 409.024 151.295
3919 64000 134000 0 0 0 1 0.001 0.000999 1 1000 0.001 24 0 24 0 151.295 409.024 33.4711 409.024 151.295
3918 62000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3917 60000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3916 58000 134000 0 0 0 1 0.001 0.000999 1 1000 0.001 21 0 21 0 151.295 409.024 33.4711 409.024 151.295
3915 56000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3914 54000 134000 0 0 0 9 0.009 0.016919 6 1000 0.006 21.5 4.25 22.6667 1.22222 151.295 409.024 33.4711 409.024 151.295
3913 52000 134000 0 0 0 5 0.005 0.006975 4 1000 0.004 22 4.5 22.5 2.25 151.295 409.024 33.4711 409.024 151.295
3912 50000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3911 48000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3910 46000 134000 0 0 0 1 0.001 0.000999 1 1000 0.001 22 0 22 0 151.295 409.024 33.4711 409.024 151.295
3909 44000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3908 42000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3907 40000 134000 0 0 0 13 0.013 0.020831 10 1000 0.01 19.9 8.29 20.6 5.24 151.295 409.024 33.4711 409.024 151.295
3906 38000 134000 0 0 0 12 0.012 0.027856 6 1000 0.006 19.6667 5.55556 22.3333 1.55556 151.295 409.024 33.4711 409.024 151.295
3905 36000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3904 34000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3903 32000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3902 30000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3901 28000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3900 26000 134000 0 0 0 4 0.004 0.015984 1 1000 0.001 14 0 24 0 151.295 409.024 33.4711 409.024 151.295
3899 24000 134000 0 0 0 4 0.004 0.015984 1 1000 0.001 2 0 23 0 151.295 409.024 33.4711 409.024 151.295
3898 22000 134000 0 0 0 1 0.001 0.000999 1 1000 0.001 24 0 24 0 151.295 409.024 33.4711 409.024 151.295
3897 20000 134000 0 0 0 3 0.003 0.002991 3 1000 0.003 20 4.66667 20 4.66667 151.295 409.024 33.4711 409.024 151.295
3896 18000 134000 0 0 0 1 0.001 0.000999 1 1000 0.001 24 0 24 0 151.295 409.024 33.4711 409.024 151.295
3895 16000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3894 14000 134000 0 0 0 2 0.002 0.003996 1 1000 0.001 22 0 23 0 151.295 409.024 33.4711 409.024 151.295
3893 12000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3892 10000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3891 8000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3890 6000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3889 4000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3888 2000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3887 0 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3886 114000 132000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3885 112000 132000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3884 110000 132000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3883 108000 132000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3882 106000 132000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3881 104000 132000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3880 102000 132000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3879 100000 132000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3878 98000 132000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3877 96000 132000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3876 94000 132000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3875 92000 132000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3874 90000 132000 0 0 0 1 0.001 0.000999 1 1000 0.001 22 0 22 0 151.295 409.024 33.4711 409.024 151.295
3873 88000 132000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3872 86000 132000 0 0 0 6 0.006 0.005964 6 1000 0.006 23.3333 2.22222 23.3333 2.22222 151.295 409.024 33.4711 409.024 151.295
3871 84000 132000 0 0 0 1 0.001 0.000999 1 1000 0.001 22 0 22 0 151.295 409.024 33.4711 409.024 151.295
3870 82000 132000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3869 80000 132000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3868 78000 132000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3867 76000 132000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3866 74000 132000 0 0 0 6 0.006 0.019964 2 1000 0.002 11 9 21.5 2.25 151.295 409.024 33.4711 409.024 151.295
3865 72000 132000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3864 70000 132000 0 0 0 1 0.001 0.000999 1 1000 0.001 18 0 18 0 151.295 409.024 33.4711 409.024 151.295
3863 68000 132000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3862 66000 132000 0 0 0 6 0.006 0.007964 5 1000 0.005 19 42.8 20 20.8 151.295 409.024 33.4711 409.024 151.295
3861 64000 132000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3860 62000 132000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3859 60000 132000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3858 58000 132000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3857 56000 132000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3856 54000 132000 0 0 0 3 0.003 0.008991 1 1000 0.001 12 0 22 0 151.295 409.024 33.4711 409.024 151.295
3855 52000 132000 0 0 0 8 0.008 0.015936 5 1000 0.005 20.6 7.84 21.2 8.96 151.295 409.024 33.4711 409.024 151.295
3854 50000 132000 0 0 0 7 0.007 0.010951 5 1000 0.005 21.4 15.04 22.8 2.56 151.295 409.024 33.4711 409.024 151.295
3853 48000 132000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
3852 46000 132000 0 0 0 0 0 0 0 1000 0 0 0 0 0 151.295 409.024 33.4711 409.024 151.295
