repetition start_node end_node geodesic_dist euclidean_dist iteration
1 1931 1931 0 0 0
2 1931 1987 33 4472.14 0
3 1931 584 235 52839.4 0
8 1931 836 754 40496.9 0
19 1931 1629 21 26000 0
21 1931 2227 31 15620.5 0
22 1931 2048 7 4472.14 0
22 1931 1875 3 4472.14 0
30 1931 1931 0 0 0
45 1931 2105 3 6000 0
47 1931 2164 5 8246.21 0
49 1931 1931 0 0 0
55 1931 1641 185 10000 0
57 1931 1990 61 2828.43 0
59 1931 1874 2 2828.43 0
72 1931 3161 39 48373.5 0
75 1931 2006 44 34058.8 0
83 1931 1984 10 10198 0
84 1931 2063 838 32249 0
86 1931 1636 20 14142.1 0
88 1931 1931 0 0 0
90 1931 2163 4 8000 0
90 1931 1998 39 18110.8 0
93 1931 1931 0 0 0
94 1931 1764 63 15231.5 0
96 1931 1931 0 0 0
99 1931 2046 5 4472.14 0
110 1931 1932 1 2000 0
120 1931 1932 1 2000 0
123 1931 1641 3600 10000 0
123 1931 1933 2 4000 0
129 1931 1931 0 0 0
129 1931 1990 19 2828.43 0
139 1931 1938 53 14000 0
139 1931 1938 182 14000 0
150 1931 1871 5 4472.14 0
156 1931 2047 2 4000 0
165 1931 1937 6 12000 0
174 1931 1645 13 12806.2 0
177 1931 2105 3 6000 0
182 1931 2045 4 5656.85 0
184 1931 1931 0 0 0
197 1931 1588 11 15620.5 0
213 1931 2045 6 5656.85 0
216 1931 1931 0 0 0
227 1931 2047 2 4000 0
227 1931 1933 6 4000 0
229 1931 1054 295 33105.9 0
229 1931 1931 0 0 0
236 1931 1931 0 0 0
239 1931 2279 18 12000 0
240 1931 1931 0 0 0
250 1931 1932 1 2000 0
253 1931 2047 2 4000 0
255 1931 3168 140 56639.2 0
256 1931 1865 69 16124.5 0
256 1931 2165 16 8944.27 0
261 1931 1761 42 10000 0
276 1931 3800 386 69079.7 0
278 1931 1931 0 0 0
278 1931 1931 0 0 0
279 1931 1759 9 7211.1 0
285 1931 1931 0 0 0
289 1931 2046 3 4472.14 0
297 1931 1931 0 0 0
297 1931 1931 0 0 0
299 1931 2406 1222 27202.9 0
299 1931 1931 0 0 0
307 1931 1931 0 0 0
308 1931 1585 24 12649.1 0
309 1931 1931 0 0 0
311 1931 1931 0 0 0
316 1931 1931 0 0 0
