id x y y_obs n_obs p_obs total_nb_intros mean_nb_intros var_nb_intros y_sim n_sim p_sim mean_first_invasion var_first_invasion mean_last_invasion var_last_invasion L empty_L max_L empty_score score
3944 114000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 160.94 409.024 33.4711 409.024 160.94
3943 112000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 160.94 409.024 33.4711 409.024 160.94
3942 110000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 160.94 409.024 33.4711 409.024 160.94
3941 108000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 160.94 409.024 33.4711 409.024 160.94
3940 106000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 160.94 409.024 33.4711 409.024 160.94
3939 104000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 160.94 409.024 33.4711 409.024 160.94
3938 102000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 160.94 409.024 33.4711 409.024 160.94
3937 100000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 160.94 409.024 33.4711 409.024 160.94
3936 98000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 160.94 409.024 33.4711 409.024 160.94
3935 96000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 160.94 409.024 33.4711 409.024 160.94
3934 94000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 160.94 409.024 33.4711 409.024 160.94
3933 92000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 160.94 409.024 33.4711 409.024 160.94
3932 90000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 160.94 409.024 33.4711 409.024 160.94
3931 88000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 160.94 409.024 33.4711 409.024 160.94
3930 86000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 160.94 409.024 33.4711 409.024 160.94
3929 84000 134000 0 0 0 2 0.002 0.001996 2 1000 0.002 21 1 21 1 160.94 409.024 33.4711 409.024 160.94
3928 82000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 160.94 409.024 33.4711 409.024 160.94
3927 80000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 160.94 409.024 33.4711 409.024 160.94
3926 78000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 160.94 409.024 33.4711 409.024 160.94
3925 76000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 160.94 409.024 33.4711 409.024 160.94
3924 74000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 160.94 409.024 33.4711 409.024 160.94
3923 72000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 160.94 409.024 33.4711 409.024 160.94
3922 70000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 160.94 409.024 33.4711 409.024 160.94
3921 68000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 160.94 409.024 33.4711 409.024 160.94
3920 66000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 160.94 409.024 33.4711 409.024 160.94
3919 64000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 160.94 409.024 33.4711 409.024 160.94
3918 62000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 160.94 409.024 33.4711 409.024 160.94
3917 60000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 160.94 409.024 33.4711 409.024 160.94
3916 58000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 160.94 409.024 33.4711 409.024 160.94
3915 56000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 160.94 409.024 33.4711 409.024 160.94
3914 54000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 160.94 409.024 33.4711 409.024 160.94
3913 52000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 160.94 409.024 33.4711 409.024 160.94
3912 50000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 160.94 409.024 33.4711 409.024 160.94
3911 48000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 160.94 409.024 33.4711 409.024 160.94
3910 46000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 160.94 409.024 33.4711 409.024 160.94
3909 44000 134000 0 0 0 3 0.003 0.004991 2 1000 0.002 22 4 23 1 160.94 409.024 33.4711 409.024 160.94
3908 42000 134000 0 0 0 1 0.001 0.000999 1 1000 0.001 24 0 24 0 160.94 409.024 33.4711 409.024 160.94
