REP likelihood empty_likelihood max_likelihood empty_score score AUC d_th d TPR FPR ACC_th ACC F1_th F1 KAPPA_th KAPPA QDIS ADIS TSS_th TSS
1 166.518 409.024 33.4711 409.024 166.518 0.7463527 0.047 1.0174544 0.8392857 0.4248366 0.155 0.8535912 0.078 0.4503311 0.078 0.3174776 0.1077348 0.121547 0.062 0.423436
2 167.362 409.024 33.4711 409.024 167.362 0.7353233 0.165 1.00015943 0.01785714 0.0 0.141 0.85359116 0.068 0.4375 0.068 0.29590249 0.13259669 0.1160221 0.068 0.3995098
3 163.879 409.024 33.4711 409.024 163.879 0.75399743 0.024 1.01054483 0.92857143 0.60130719 0.133 0.8480663 0.081 0.44285714 0.081 0.31585579 0.07734807 0.13812155 0.067 0.41386555
4 165.746 409.024 33.4711 409.024 165.746 0.75595238 0.054 1.01688202 0.76785714 0.33333333 0.15 0.85635359 0.064 0.44970414 0.087 0.34316171 0.01104972 0.16574586 0.054 0.43452381
5 165.271 409.024 33.4711 409.024 165.271 0.75192577 0.039 1.02500768 0.85714286 0.4379085 0.125 0.85359116 0.064 0.44025157 0.086 0.30210932 0.01104972 0.17679558 0.039 0.41923436
6 164.736 409.024 33.4711 409.024 164.736 0.75449346 0.067 1.02481366 0.67857143 0.23202614 0.138 0.85359116 0.067 0.46060606 0.067 0.32204032 0.14640884 0.09944751 0.067 0.44654528
7 167.267 409.024 33.4711 409.024 167.267 0.74229692 0.035 1.01765284 0.875 0.48039216 0.141 0.85082873 0.074 0.42857143 0.084 0.30070831 0.03314917 0.16574586 0.056 0.4055789
8 164.654 409.024 33.4711 409.024 164.654 0.75169234 0.025 1.01183861 0.92857143 0.59803922 0.134 0.85359116 0.071 0.44897959 0.071 0.31844173 0.09668508 0.12707182 0.068 0.41736695
9 164.91 409.024 33.4711 409.024 164.91 0.74331816 0.039 1.02438894 0.875 0.46732026 0.169 0.85082873 0.071 0.4125 0.084 0.27184954 0.06077348 0.16022099 0.049 0.40966387
10 163.717 409.024 33.4711 409.024 163.717 0.74781162 0.025 1.01183861 0.92857143 0.59803922 0.13 0.85635359 0.065 0.42682927 0.079 0.29944999 0.05524862 0.15469613 0.047 0.3872549
11 165.913 409.024 33.4711 409.024 165.913 0.74927054 0.031 1.0138888 0.89285714 0.51960784 0.141 0.8480663 0.063 0.43930636 0.102 0.29359184 0.02762431 0.14364641 0.063 0.42040149
12 165.394 409.024 33.4711 409.024 165.394 0.76388889 0.076 1.0395882 0.64285714 0.18300654 0.154 0.85635359 0.076 0.48648649 0.077 0.36629447 0.08839779 0.1160221 0.062 0.46090103
13 163.541 409.024 33.4711 409.024 163.541 0.75332633 0.08 1.00734104 0.58928571 0.18300654 0.135 0.85082873 0.08 0.45517241 0.084 0.33135975 0.05801105 0.14364641 0.08 0.40627918
14 165.818 409.024 33.4711 409.024 165.818 0.7458275 0.055 1.01260908 0.76785714 0.33986928 0.133 0.85635359 0.08 0.45070423 0.085 0.32646083 0.06077348 0.14364641 0.055 0.42798786
15 164.993 409.024 33.4711 409.024 164.993 0.7504669 0.051 1.0147425 0.7678571 0.3366013 0.132 0.8508287 0.066 0.4390244 0.066 0.2954815 0.1436464 0.1104972 0.051 0.4312558
16 165.926 409.024 33.4711 409.024 165.926 0.7464986 0.034 1.00778222 0.875 0.5 0.129 0.85359116 0.056 0.42708333 0.078 0.2900533 0.06077348 0.15469613 0.056 0.42168534
17 163.378 409.024 33.4711 409.024 163.378 0.76222572 0.08 1.03369444 0.60714286 0.16339869 0.131 0.85082873 0.08 0.48571429 0.08 0.36848226 0.07734807 0.12154696 0.056 0.4475957
18 162.986 409.024 33.4711 409.024 162.986 0.7555147 0.042 1.0101225 0.8392857 0.4379085 0.141 0.8535912 0.078 0.4397163 0.083 0.3189799 0.0441989 0.1546961 0.047 0.4146825
19 167.044 409.024 33.4711 409.024 167.044 0.739612512 0.154 1.000723074 0.089285714 0.003267974 0.138 0.856353591 0.069 0.426829268 0.094 0.301389502 0.022099448 0.171270718 0.069 0.386437908
20 165.414 409.024 33.4711 409.024 165.414 0.7502334 0.029 1.0177141 0.9107143 0.5457516 0.133 0.8535912 0.072 0.4370861 0.072 0.3010313 0.1077348 0.1270718 0.058 0.4103641
21 164.757 409.024 33.4711 409.024 164.757 0.7418301 0.031 1.0162597 0.9107143 0.5490196 0.141 0.8535912 0.074 0.4370861 0.074 0.3010313 0.1077348 0.1270718 0.062 0.4088469
22 163.866 409.024 33.4711 409.024 163.866 0.74553571 0.042 1.00112205 0.83928571 0.45424837 0.141 0.85635359 0.082 0.42758621 0.092 0.30576414 0.03038674 0.16574586 0.051 0.40184407
23 162.748 409.024 33.4711 409.024 162.748 0.75516457 0.032 1.01481374 0.91071429 0.55228758 0.113 0.85082873 0.081 0.46043165 0.086 0.34134591 0.05248619 0.14364641 0.081 0.4047619
24 163.228 409.024 33.4711 409.024 163.228 0.757644725 0.033 1.012682101 0.875 0.490196078 0.138 0.856353591 0.055 0.440677966 0.085 0.30838869 0.002762431 0.17679558 0.055 0.428454715
25 164.5 409.024 33.4711 409.024 164.5 0.75113796 0.05 1.00346966 0.78571429 0.37581699 0.141 0.85911602 0.066 0.43786982 0.089 0.31186403 0.01657459 0.17127072 0.066 0.41234827
26 164.177 409.024 33.4711 409.024 164.177 0.74375584 0.042 1.00830762 0.83928571 0.44117647 0.146 0.85359116 0.082 0.44604317 0.082 0.32051095 0.07458564 0.13812155 0.042 0.39810924
27 164.634 409.024 33.4711 409.024 164.634 0.75288866 0.046 1.01032948 0.82142857 0.41176471 0.138 0.85635359 0.077 0.44137931 0.085 0.31788552 0.05524862 0.14917127 0.057 0.42320261
28 161.721 409.024 33.4711 409.024 161.721 0.76324697 0.04 1.0268034 0.85714286 0.43464052 0.136 0.85635359 0.078 0.45714286 0.078 0.33339795 0.07734807 0.13259669 0.04 0.42250233
29 164.646 409.024 33.4711 409.024 164.646 0.75166317 0.069 1.01804165 0.66071429 0.2254902 0.124 0.85359116 0.069 0.45679012 0.081 0.32999358 0.06906077 0.13812155 0.069 0.43522409
30 160.12 409.024 33.4711 409.024 160.12 0.75854925 0.036 1.04644098 0.89285714 0.45424837 0.17 0.85082873 0.084 0.42857143 0.084 0.30996505 0.03867403 0.16022099 0.042 0.44864613
31 167.233 409.024 33.4711 409.024 167.233 0.74562325 0.035 1.0185706 0.89285714 0.50980392 0.148 0.85082873 0.077 0.44295302 0.087 0.31304084 0.05801105 0.14917127 0.052 0.41643324
32 164.62 409.024 33.4711 409.024 164.62 0.7505544 0.069 1.0180417 0.6607143 0.2254902 0.139 0.8508287 0.069 0.4567901 0.069 0.3189087 0.1381215 0.1049724 0.069 0.4352241
33 164.728 409.024 33.4711 409.024 164.728 0.74247199 0.164 1.00063755 0.03571429 0.0 0.151 0.85635359 0.084 0.44094488 0.084 0.32402293 0.04143646 0.15469613 0.051 0.40511204
34 164.753 409.024 33.4711 409.024 164.753 0.7537056 0.029 1.0322927 0.9285714 0.5490196 0.142 0.8563536 0.071 0.4375 0.095 0.3239963 0.0 0.1767956 0.041 0.4207516
35 166.802 409.024 33.4711 409.024 166.802 0.7482493 0.05 1.0211634 0.8392857 0.4183007 0.141 0.8508287 0.072 0.4347826 0.072 0.2919049 0.1353591 0.1160221 0.05 0.4209851
36 162.274 409.024 33.4711 409.024 162.274 0.75691527 0.07 1.01571215 0.625 0.19934641 0.132 0.85635359 0.07 0.46052632 0.08 0.3348232 0.06629834 0.13812155 0.07 0.42565359
37 164.369 409.024 33.4711 409.024 164.369 0.7490663 0.04 1.0174544 0.8392857 0.4248366 0.137 0.8563536 0.071 0.4575163 0.072 0.3262718 0.1022099 0.121547 0.065 0.4286881
38 164.52 409.024 33.4711 409.024 164.52 0.7563317 0.062 1.01512892 0.69642857 0.26143791 0.144 0.85911602 0.079 0.44604317 0.079 0.32051095 0.07458564 0.13812155 0.062 0.43499066
39 165.525 409.024 33.4711 409.024 165.525 0.73771592 0.082 1.00734104 0.58928571 0.18300654 0.168 0.85082873 0.082 0.45517241 0.09 0.32913269 0.03867403 0.15469613 0.082 0.40627918
40 165.509 409.024 33.4711 409.024 165.509 0.73672386 0.026 1.02064817 0.91071429 0.53921569 0.16 0.85635359 0.07 0.42857143 0.09 0.29162473 0.01657459 0.17679558 0.04 0.41118114
41 165.136 409.024 33.4711 409.024 165.136 0.7471697 0.091 1.0155387 0.5357143 0.1372549 0.154 0.859116 0.091 0.46875 0.091 0.3568144 0.0441989 0.1436464 0.091 0.3984594
42 167.672 409.024 33.4711 409.024 167.672 0.74107143 0.033 1.00624967 0.89285714 0.53594771 0.15 0.85359116 0.077 0.42580645 0.097 0.30210932 0.01104972 0.17679558 0.065 0.38772176
43 166.21 409.024 33.4711 409.024 166.21 0.73981676 0.034 1.009280518 0.892857143 0.529411765 0.129 0.85359116 0.069 0.414634146 0.095 0.271252732 0.005524862 0.187845304 0.041 0.388305322
44 163.659 409.024 33.4711 409.024 163.659 0.7458275 0.028 1.0162597 0.9107143 0.5490196 0.132 0.8508287 0.068 0.4370861 0.075 0.3074659 0.0718232 0.1436464 0.062 0.3944911
45 164.0 409.024 33.4711 409.024 164.0 0.74352241 0.026 1.00493117 0.91071429 0.5751634 0.137 0.85635359 0.075 0.44295302 0.085 0.31788552 0.05524862 0.14917127 0.062 0.41713352
46 165.226 409.024 33.4711 409.024 165.226 0.7419176 0.034 1.00776094 0.89285714 0.53267974 0.141 0.85359116 0.068 0.44311377 0.078 0.31585579 0.07734807 0.13812155 0.068 0.41888422
47 165.285 409.024 33.4711 409.024 165.285 0.74597339 0.182 1.00063755 0.03571429 0.0 0.147 0.85635359 0.079 0.44137931 0.089 0.31897993 0.0441989 0.15469613 0.07 0.40429505
48 163.701 409.024 33.4711 409.024 163.701 0.7501167 0.033 1.0436956 0.9107143 0.4901961 0.155 0.8535912 0.076 0.4539007 0.076 0.3286932 0.0801105 0.1325967 0.033 0.4205182
49 164.505 409.024 33.4711 409.024 164.505 0.75128385 0.028 1.01844015 0.92857143 0.58169935 0.132 0.85359116 0.07 0.43870968 0.097 0.32101347 0.01933702 0.14917127 0.07 0.39472456
50 162.789 409.024 33.4711 409.024 162.789 0.76409314 0.08 1.02841186 0.60714286 0.16993464 0.151 0.85359116 0.08 0.47887324 0.08 0.35870918 0.08287293 0.12154696 0.071 0.44024276
51 164.312 409.024 33.4711 409.024 164.312 0.74115896 0.025 1.00631707 0.91071429 0.57189542 0.142 0.85082873 0.072 0.4295302 0.078 0.29831363 0.07734807 0.14364641 0.061 0.37815126
52 163.665 409.024 33.4711 409.024 163.665 0.75822829 0.07 1.03464566 0.67857143 0.21895425 0.153 0.85082873 0.07 0.47204969 0.07 0.33859249 0.13535912 0.09944751 0.065 0.46265173
53 162.087 409.024 33.4711 409.024 162.087 0.7601249 0.039 1.0243889 0.875 0.4673203 0.133 0.8563536 0.079 0.4680851 0.079 0.3461298 0.0801105 0.1270718 0.079 0.4193511
54 163.495 409.024 33.4711 409.024 163.495 0.75116713 0.032 1.01598812 0.875 0.48366013 0.124 0.85082873 0.078 0.45801527 0.08 0.34306454 0.04143646 0.14917127 0.036 0.40137722
55 165.391 409.024 33.4711 409.024 165.391 0.7504377 0.033 1.0170019 0.8928571 0.5130719 0.148 0.8535912 0.08 0.4539007 0.087 0.3343105 0.0359116 0.1546961 0.075 0.4077965
56 164.302 409.024 33.4711 409.024 164.302 0.74200514 0.004 1.00004806 1.0 0.99019608 0.142 0.85359116 0.089 0.44444444 0.089 0.32913269 0.03867403 0.15469613 0.043 0.38678805
57 166.308 409.024 33.4711 409.024 166.308 0.73934991 0.03 1.00624967 0.89285714 0.53594771 0.137 0.85359116 0.077 0.44755245 0.077 0.31945172 0.08563536 0.13259669 0.071 0.39799253
58 166.68 409.024 33.4711 409.024 166.68 0.74789916 0.046 1.01745439 0.83928571 0.4248366 0.142 0.85359116 0.086 0.43609023 0.095 0.31721187 0.01381215 0.17127072 0.048 0.41619981
59 165.459 409.024 33.4711 409.024 165.459 0.7386788 0.036 1.02143813 0.85714286 0.44444444 0.135 0.85635359 0.08 0.42962963 0.08 0.30353306 0.06353591 0.14917127 0.036 0.41269841
60 164.702 409.024 33.4711 409.024 164.702 0.7399335 0.03 1.0133762 0.9107143 0.5555556 0.138 0.8563536 0.067 0.4487179 0.067 0.3123343 0.121547 0.1160221 0.067 0.4125817
61 164.751 409.024 33.4711 409.024 164.751 0.74503968 0.031 1.0170019 0.89285714 0.5130719 0.144 0.85082873 0.077 0.42176871 0.083 0.29472193 0.05801105 0.15469613 0.057 0.3942577
62 165.128 409.024 33.4711 409.024 165.128 0.74147993 0.032 1.00176617 0.89285714 0.54575163 0.146 0.8480663 0.078 0.44 0.09 0.30908903 0.04972376 0.15469613 0.078 0.38993931
63 161.854 409.024 33.4711 409.024 161.854 0.76234244 0.038 1.0396834 0.89285714 0.46732026 0.139 0.85635359 0.069 0.4691358 0.069 0.3343881 0.13812155 0.09944751 0.069 0.45634921
64 162.691 409.024 33.4711 409.024 162.691 0.75583567 0.028 1.0238785 0.92857143 0.56862745 0.14 0.85082873 0.083 0.4379562 0.083 0.31212675 0.06906077 0.14364641 0.051 0.42296919
65 164.447 409.024 33.4711 409.024 164.447 0.7589869 0.032 1.0311778 0.9107143 0.5163399 0.167 0.8480663 0.076 0.4563758 0.076 0.3262718 0.1022099 0.121547 0.056 0.4330065
66 165.959 409.024 33.4711 409.024 165.959 0.74352241 0.039 1.01613913 0.85714286 0.45424837 0.139 0.85082873 0.071 0.43243243 0.1 0.31041159 0.02486188 0.14364641 0.039 0.40289449
67 165.778 409.024 33.4711 409.024 165.778 0.74807423 0.047 1.02773187 0.82142857 0.38235294 0.132 0.85911602 0.062 0.43023256 0.075 0.28065859 0.08839779 0.14364641 0.047 0.43907563
68 164.444 409.024 33.4711 409.024 164.444 0.75265523 0.055 1.01880756 0.75 0.31045752 0.133 0.85911602 0.055 0.43523316 0.089 0.31186403 0.01657459 0.17127072 0.055 0.43954248
69 166.209 409.024 33.4711 409.024 166.209 0.7507878 0.042 1.0029073 0.8392857 0.4509804 0.139 0.8535912 0.07 0.4337349 0.096 0.3239963 0.0 0.1767956 0.064 0.4073296
70 167.662 409.024 33.4711 409.024 167.662 0.74396008 0.074 1.00734104 0.58928571 0.18300654 0.137 0.85635359 0.074 0.45517241 0.074 0.32745402 0.09116022 0.12707182 0.066 0.410831
71 163.552 409.024 33.4711 409.024 163.552 0.753034547 0.046 1.010329481 0.821428571 0.411764706 0.15 0.859116022 0.068 0.445783133 0.101 0.313987919 0.005524862 0.171270718 0.068 0.422152194
72 164.601 409.024 33.4711 409.024 164.601 0.7522467 0.029 1.0221277 0.9107143 0.5359477 0.142 0.8535912 0.07 0.4615385 0.07 0.3283266 0.121547 0.1104972 0.07 0.4337068
73 164.39 409.024 33.4711 409.024 164.39 0.749679 0.067 1.0280215 0.6607143 0.2124183 0.135 0.8535912 0.07 0.4705882 0.07 0.3414042 0.1132597 0.1104972 0.067 0.448296
74 164.557 409.024 33.4711 409.024 164.557 0.74857026 0.04 1.01194459 0.83928571 0.43464052 0.158 0.85082873 0.085 0.44444444 0.085 0.32913269 0.03867403 0.15469613 0.04 0.40464519
75 164.343 409.024 33.4711 409.024 164.343 0.7498249 0.091 1.0118427 0.5178571 0.130719 0.151 0.8563536 0.091 0.464 0.091 0.3536059 0.0359116 0.1491713 0.071 0.414099
76 165.272 409.024 33.4711 409.024 165.272 0.7490079 0.047 1.0232192 0.8571429 0.4411765 0.155 0.8508287 0.086 0.4680851 0.086 0.3461298 0.0801105 0.1270718 0.086 0.4193511
77 164.703 409.024 33.4711 409.024 164.703 0.74944561 0.036 1.0143877 0.85714286 0.45751634 0.149 0.85359116 0.072 0.43537415 0.112 0.30746105 0.05524862 0.09944751 0.036 0.39962652
78 162.951 409.024 33.4711 409.024 162.951 0.754201681 0.048 1.017512391 0.803571429 0.375816993 0.138 0.856353591 0.061 0.426966292 0.091 0.312895433 0.005524862 0.17679558 0.048 0.427754435
79 163.812 409.024 33.4711 409.024 163.812 0.7593371 0.05 1.0195204 0.8035714 0.372549 0.132 0.8535912 0.07 0.4615385 0.07 0.3283266 0.121547 0.1104972 0.062 0.4382586
80 164.343 409.024 33.4711 409.024 164.343 0.74171335 0.005 1.00064591 1.0 0.96405229 0.153 0.85082873 0.072 0.43209877 0.113 0.32396304 0.04143646 0.1160221 0.072 0.39297386
81 165.174 409.024 33.4711 409.024 165.174 0.74396008 0.085 1.00316652 0.55357143 0.16339869 0.146 0.85911602 0.085 0.45255474 0.085 0.32999358 0.06906077 0.13812155 0.085 0.39017274
82 164.085 409.024 33.4711 409.024 164.085 0.74833683 0.035 1.0126821 0.875 0.49019608 0.152 0.85911602 0.094 0.46031746 0.094 0.34830033 0.03867403 0.14917127 0.085 0.39495798
