id x y y_obs n_obs p_obs total_nb_intros mean_nb_intros var_nb_intros y_sim n_sim p_sim mean_first_invasion var_first_invasion mean_last_invasion var_last_invasion L empty_L max_L empty_score score
3944 114000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 175.773 409.024 33.4711 409.024 175.773
3943 112000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 175.773 409.024 33.4711 409.024 175.773
3942 110000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 175.773 409.024 33.4711 409.024 175.773
3941 108000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 175.773 409.024 33.4711 409.024 175.773
3940 106000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 175.773 409.024 33.4711 409.024 175.773
3939 104000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 175.773 409.024 33.4711 409.024 175.773
3938 102000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 175.773 409.024 33.4711 409.024 175.773
3937 100000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 175.773 409.024 33.4711 409.024 175.773
3936 98000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 175.773 409.024 33.4711 409.024 175.773
3935 96000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 175.773 409.024 33.4711 409.024 175.773
3934 94000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 175.773 409.024 33.4711 409.024 175.773
3933 92000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 175.773 409.024 33.4711 409.024 175.773
3932 90000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 175.773 409.024 33.4711 409.024 175.773
3931 88000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 175.773 409.024 33.4711 409.024 175.773
3930 86000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 175.773 409.024 33.4711 409.024 175.773
3929 84000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 175.773 409.024 33.4711 409.024 175.773
3928 82000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 175.773 409.024 33.4711 409.024 175.773
3927 80000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 175.773 409.024 33.4711 409.024 175.773
3926 78000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 175.773 409.024 33.4711 409.024 175.773
