REP likelihood empty_likelihood max_likelihood empty_score score AUC d_th d TPR FPR ACC_th ACC F1_th F1 KAPPA_th KAPPA QDIS ADIS TSS_th TSS
1 170.435 409.024 33.4711 409.024 170.435 0.76114613 0.052 1.08261861 0.80357143 0.2745098 0.147 0.84530387 0.052 0.48648649 0.052 0.34522676 0.20165746 0.06077348 0.052 0.52906162
2 175.826 409.024 33.4711 409.024 175.826 0.7565943 0.058 1.05841444 0.78571429 0.29084967 0.135 0.8480663 0.058 0.46560847 0.058 0.31687904 0.21270718 0.06629834 0.058 0.49486461
3 173.194 409.024 33.4711 409.024 173.194 0.77261321 0.058 1.06620327 0.82142857 0.32026144 0.133 0.84530387 0.067 0.47798742 0.067 0.34713833 0.12983425 0.09944751 0.058 0.50116713
4 174.158 409.024 33.4711 409.024 174.158 0.75965803 0.049 1.05622764 0.78571429 0.29411765 0.141 0.8480663 0.049 0.46315789 0.049 0.31332292 0.21546961 0.06629834 0.049 0.49159664
5 170.349 409.024 33.4711 409.024 170.349 0.7727591 0.057 1.0699419 0.76785714 0.25490196 0.136 0.84530387 0.057 0.48587571 0.059 0.35251042 0.14640884 0.08839779 0.057 0.51295518
6 173.851 409.024 33.4711 409.024 173.851 0.7517215 0.054 1.0588654 0.8035714 0.3104575 0.155 0.8480663 0.057 0.4673913 0.057 0.3213193 0.198895 0.0718232 0.054 0.4931139
7 173.357 409.024 33.4711 409.024 173.357 0.7584909 0.039 1.05176688 0.82142857 0.34313725 0.142 0.84530387 0.043 0.45652174 0.043 0.30746863 0.19889503 0.07734807 0.039 0.47829132
8 172.428 409.024 33.4711 409.024 172.428 0.7569736 0.052 1.0567401 0.8035714 0.3137255 0.139 0.8480663 0.055 0.4648649 0.055 0.3176574 0.2016575 0.0718232 0.052 0.4898459
9 173.471 409.024 33.4711 409.024 173.471 0.75087535 0.047 1.0479004 0.83928571 0.37254902 0.148 0.8480663 0.056 0.45303867 0.056 0.30441365 0.19060773 0.08287293 0.051 0.46872082
10 176.501 409.024 33.4711 409.024 176.501 0.7654937 0.051 1.07344485 0.75 0.23202614 0.119 0.8480663 0.051 0.49704142 0.051 0.36585466 0.15745856 0.07734807 0.051 0.51797386
11 175.379 409.024 33.4711 409.024 175.379 0.75408497 0.058 1.06500805 0.78571429 0.28104575 0.153 0.8480663 0.058 0.47311828 0.058 0.32774956 0.20441989 0.06629834 0.058 0.50466853
