id x y y_obs n_obs p_obs total_nb_intros mean_nb_intros var_nb_intros y_sim n_sim p_sim mean_first_invasion var_first_invasion mean_last_invasion var_last_invasion L empty_L max_L empty_score score
3944 114000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.523 409.024 33.4711 409.024 153.523
3943 112000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.523 409.024 33.4711 409.024 153.523
3942 110000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.523 409.024 33.4711 409.024 153.523
3941 108000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.523 409.024 33.4711 409.024 153.523
3940 106000 134000 0 0 0 1 0.001 0.000999 1 1000 0.001 24 0 24 0 153.523 409.024 33.4711 409.024 153.523
3939 104000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.523 409.024 33.4711 409.024 153.523
3938 102000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.523 409.024 33.4711 409.024 153.523
3937 100000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.523 409.024 33.4711 409.024 153.523
3936 98000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.523 409.024 33.4711 409.024 153.523
3935 96000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.523 409.024 33.4711 409.024 153.523
3934 94000 134000 0 0 0 2 0.002 0.003996 1 1000 0.001 18 0 20 0 153.523 409.024 33.4711 409.024 153.523
3933 92000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.523 409.024 33.4711 409.024 153.523
3932 90000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.523 409.024 33.4711 409.024 153.523
3931 88000 134000 0 0 0 1 0.001 0.000999 1 1000 0.001 23 0 23 0 153.523 409.024 33.4711 409.024 153.523
3930 86000 134000 0 0 0 1 0.001 0.000999 1 1000 0.001 21 0 21 0 153.523 409.024 33.4711 409.024 153.523
3929 84000 134000 0 0 0 3 0.003 0.004991 2 1000 0.002 21 9 23 1 153.523 409.024 33.4711 409.024 153.523
3928 82000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.523 409.024 33.4711 409.024 153.523
3927 80000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.523 409.024 33.4711 409.024 153.523
3926 78000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.523 409.024 33.4711 409.024 153.523
