repetition start_node end_node geodesic_dist euclidean_dist iteration
6 1931 1934 5 6000 0
6 1931 2047 2 4000 0
8 1931 1931 0 0 0
10 1931 1932 1 2000 0
13 1931 1809 12 12649.1 0
13 1931 1989 1 2000 0
21 1931 1988 54 2828.43 0
21 1931 1931 0 0 0
22 1931 1931 0 0 0
26 1931 1051 105 36055.5 0
32 1931 1923 12 16000 0
33 1931 1931 0 0 0
34 1931 1610 65 55317.3 0
46 1931 1931 0 0 0
49 1931 1706 23 16124.5 0
52 1931 1931 0 0 0
54 1931 1931 0 0 0
54 1931 1931 0 0 0
54 1931 1989 1 2000 0
55 1931 1931 0 0 0
61 1931 3465 78 73539.1 0
64 1931 2105 5 6000 0
65 1931 2736 77 31305 0
65 1931 1758 8 6324.56 0
69 1931 1702 7 10000 0
71 1931 1989 1 2000 0
76 1931 1989 1 2000 0
79 1931 2341 15 16124.5 0
81 1931 1931 0 0 0
86 1931 2047 2 4000 0
91 1931 1931 0 0 0
94 1931 1240 77 26000 0
96 1931 1925 35 12000 0
109 1931 1993 7 8246.21 0
111 1931 1874 6 2828.43 0
113 1931 1931 0 0 0
117 1931 2691 57 28635.6 0
122 1931 1520 34 17204.7 0
126 1931 1873 3 2000 0
129 1931 1933 2 4000 0
130 1931 1645 9 12806.2 0
132 1931 1931 0 0 0
135 1931 776 35 41231.1 0
149 1931 1931 0 0 0
149 1931 1932 1 2000 0
155 1931 1760 8 8485.28 0
157 1931 1931 0 0 0
159 1931 1989 379 2000 0
163 1931 1931 0 0 0
167 1931 1639 34 10770.3 0
176 1931 1874 2 2828.43 0
182 1931 1989 1 2000 0
182 1931 1759 5 7211.1 0
187 1931 1931 0 0 0
196 1931 1932 1 2000 0
200 1931 1875 3 4472.14 0
202 1931 1931 0 0 0
205 1931 1928 9 6000 0
208 1931 1759 5 7211.1 0
209 1931 1872 4 2828.43 0
209 1931 1818 5 7211.1 0
212 1931 1876 4 6324.56 0
212 1931 1931 0 0 0
214 1931 1932 1 2000 0
215 1931 1756 40 6324.56 0
217 1931 2046 3 4472.14 0
234 1931 1929 34 4000 0
234 1931 1931 0 0 0
237 1931 3328 534 49030.6 0
242 1931 1874 2 2828.43 0
242 1931 1520 24 17204.7 0
256 1931 1990 48 2828.43 0
259 1931 2047 2 4000 0
265 1931 1879 48 12165.5 0
265 1931 1931 0 0 0
266 1931 1989 1 2000 0
266 1931 1931 0 0 0
267 1931 2691 62 28635.6 0
273 1931 2690 30 27856.8 0
280 1931 1931 0 0 0
284 1931 2163 4 8000 0
285 1931 2104 4 6324.56 0
285 1931 1990 11 2828.43 0
288 1931 1757 7 6000 0
295 1931 1931 0 0 0
297 1931 1931 0 0 0
299 1931 1931 0 0 0
299 1931 1933 28 4000 0
302 1931 1931 0 0 0
305 1931 1931 0 0 0
306 1931 1931 0 0 0
310 1931 1931 0 0 0
315 1931 2168 84 12806.2 0
315 1931 1931 0 0 0
325 1931 2164 5 8246.21 0
328 1931 1817 4 5656.85 0
329 1931 1414 32 20591.3 0
331 1931 1006 31 32557.6 0
339 1931 1688 69 23409.4 0
342 1931 1874 2 2828.43 0
349 1931 2162 9 8246.21 0
353 1931 1931 0 0 0
354 1931 2103 50 7211.1 0
358 1931 1932 1 2000 0
359 1931 1873 3 2000 0
364 1931 2223 7 10770.3 0
368 1931 1751 400 13416.4 0
370 1931 2049 4 5656.85 0
373 1931 2047 2 4000 0
376 1931 2047 2 4000 0
378 1931 1996 14 14142.1 0
380 1931 1932 1 2000 0
387 1931 1931 0 0 0
387 1931 1931 0 0 0
388 1931 2047 2 4000 0
389 1931 1860 2303 26076.8 0
392 1931 1932 1 2000 0
393 1931 875 400 43266.6 0
393 1931 1931 0 0 0
393 1931 1932 1 2000 0
395 1931 2455 15 18439.1 0
397 1931 1984 20 10198 0
405 1931 1989 1 2000 0
407 1931 1482 928 34000 0
411 1931 1700 7 8246.21 0
414 1931 1875 3 4472.14 0
416 1931 1932 1 2000 0
428 1931 2105 3 6000 0
432 1931 1931 0 0 0
435 1931 1931 0 0 0
437 1931 2864 27 33526.1 0
