REP likelihood empty_likelihood max_likelihood empty_score score AUC d_th d TPR FPR ACC_th ACC F1_th F1 KAPPA_th KAPPA QDIS ADIS TSS_th TSS
1 153.292 409.024 33.4711 409.024 153.292 0.80704365 0.016 1.07177586 1.0 0.61437908 0.172 0.85911602 0.07 0.52713178 0.07 0.42676912 0.04696133 0.12154696 0.057 0.49556489
2 154.616 409.024 33.4711 409.024 154.616 0.80222923 0.05 1.04880309 0.71428571 0.23202614 0.198 0.85911602 0.059 0.49315068 0.059 0.37370242 0.09392265 0.11049724 0.05 0.48225957
3 152.701 409.024 33.4711 409.024 152.701 0.8068394 0.045 1.06943114 0.78571429 0.2745098 0.189 0.85911602 0.069 0.52238806 0.069 0.41747963 0.06077348 0.1160221 0.045 0.51120448
4 153.743 409.024 33.4711 409.024 153.743 0.81185808 0.058 1.08029879 0.71428571 0.18954248 0.177 0.85911602 0.058 0.51948052 0.075 0.40580324 0.03867403 0.13259669 0.058 0.52474323
5 153.536 409.024 33.4711 409.024 153.536 0.80491363 0.047 1.05868232 0.73214286 0.23529412 0.179 0.86187845 0.061 0.4964539 0.075 0.38698573 0.01933702 0.14917127 0.047 0.49684874
6 153.035 409.024 33.4711 409.024 153.035 0.80669351 0.045 1.07908584 0.76785714 0.24183007 0.175 0.85911602 0.045 0.49710983 0.101 0.37823996 0.02486188 0.12707182 0.045 0.52602708
7 153.847 409.024 33.4711 409.024 153.847 0.80622666 0.051 1.05841228 0.71428571 0.21895425 0.192 0.85911602 0.067 0.51162791 0.067 0.40797466 0.04696133 0.12707182 0.051 0.49533147
8 155.249 409.024 33.4711 409.024 155.249 0.79543067 0.054 1.05836538 0.66071429 0.17320261 0.166 0.85635359 0.054 0.50684932 0.054 0.39062938 0.09392265 0.10497238 0.054 0.48751167
9 152.878 409.024 33.4711 409.024 152.878 0.8073646 0.039 1.0538109 0.8214286 0.3398693 0.2 0.8563536 0.076 0.496 0.076 0.3921966 0.0359116 0.1381215 0.042 0.48331
10 152.944 409.024 33.4711 409.024 152.944 0.80806489 0.041 1.05404644 0.78571429 0.29738562 0.186 0.86187845 0.077 0.50819672 0.077 0.40933319 0.02762431 0.13812155 0.041 0.48832866
11 152.561 409.024 33.4711 409.024 152.561 0.81098273 0.052 1.07052693 0.71428571 0.20261438 0.172 0.85911602 0.052 0.50632911 0.072 0.40018936 0.04143646 0.13259669 0.052 0.51167134
12 154.419 409.024 33.4711 409.024 154.419 0.8061683 0.042 1.06313321 0.80357143 0.30392157 0.182 0.85911602 0.059 0.51034483 0.059 0.39555995 0.09116022 0.10497238 0.043 0.50140056
13 152.321 409.024 33.4711 409.024 152.321 0.81305439 0.063 1.06546227 0.64285714 0.1503268 0.159 0.85635359 0.065 0.52631579 0.065 0.4229543 0.05801105 0.1160221 0.045 0.49836601
14 154.752 409.024 33.4711 409.024 154.752 0.80368814 0.062 1.04731047 0.64285714 0.17320261 0.171 0.85635359 0.062 0.49655172 0.068 0.38107211 0.06077348 0.12707182 0.057 0.4711718
15 153.316 409.024 33.4711 409.024 153.316 0.81109944 0.018 1.06041672 0.96428571 0.55882353 0.166 0.85635359 0.064 0.5037037 0.064 0.39398331 0.06353591 0.12154696 0.05 0.48225957
16 153.373 409.024 33.4711 409.024 153.373 0.81355042 0.02 1.06592144 0.96428571 0.54575163 0.142 0.85911602 0.07 0.51515152 0.07 0.41006315 0.05524862 0.12154696 0.041 0.50291783
17 154.527 409.024 33.4711 409.024 154.527 0.806751867 0.065 1.055067322 0.642857143 0.163398693 0.196 0.856353591 0.081 0.508196721 0.087 0.41082748 0.008287293 0.149171271 0.061 0.480975724
18 154.448 409.024 33.4711 409.024 154.448 0.80876517 0.056 1.05953214 0.67857143 0.18627451 0.172 0.85635359 0.056 0.50331126 0.056 0.38326291 0.10773481 0.09944751 0.056 0.49229692
19 153.032 409.024 33.4711 409.024 153.032 0.80546802 0.052 1.07105645 0.69642857 0.18627451 0.172 0.85635359 0.065 0.51908397 0.065 0.41556045 0.05248619 0.12154696 0.052 0.51015406
20 154.447 409.024 33.4711 409.024 154.447 0.8086193 0.049 1.054899 0.75 0.2581699 0.2 0.8563536 0.067 0.5072464 0.067 0.3962523 0.0718232 0.1160221 0.049 0.4918301
21 153.359 409.024 33.4711 409.024 153.359 0.80397993 0.018 1.05241011 0.96428571 0.57843137 0.158 0.85635359 0.07 0.50769231 0.07 0.40245538 0.04972376 0.12707182 0.057 0.47443978
22 152.825 409.024 33.4711 409.024 152.825 0.80856092 0.065 1.0732969 0.64285714 0.14052288 0.133 0.85635359 0.065 0.53333333 0.065 0.43016341 0.06353591 0.11049724 0.065 0.50233427
23 153.616 409.024 33.4711 409.024 153.616 0.80327965 0.062 1.06347911 0.66071429 0.16666667 0.183 0.85911602 0.062 0.51388889 0.067 0.40463539 0.05801105 0.12154696 0.062 0.49404762
24 154.824 409.024 33.4711 409.024 154.824 0.8058182 0.05 1.0563242 0.7321429 0.2385621 0.147 0.8618785 0.057 0.4933333 0.062 0.378495 0.0718232 0.121547 0.05 0.4935808
