REP likelihood empty_likelihood max_likelihood empty_score score AUC d_th d TPR FPR ACC_th ACC F1_th F1 KAPPA_th KAPPA QDIS ADIS TSS_th TSS
1 167.986 409.024 33.4711 409.024 167.986 0.8021125 0.023 1.105799 0.9464286 0.4281046 0.095 0.8480663 0.026 0.4711538 0.034 0.3240631 0.1243094 0.1104972 0.026 0.5383987
2 160.978 409.024 33.4711 409.024 160.978 0.80625584 0.032 1.09857279 0.91071429 0.38562092 0.17 0.8480663 0.042 0.48128342 0.042 0.3377466 0.20718232 0.06077348 0.032 0.52509337
3 160.025 409.024 33.4711 409.024 160.025 0.81468838 0.043 1.09884641 0.89285714 0.35947712 0.173 0.84530387 0.058 0.48809524 0.058 0.35507126 0.15469613 0.08287293 0.043 0.53338002
4 160.877 409.024 33.4711 409.024 160.877 0.8150969 0.033 1.1212927 0.9464286 0.3986928 0.235 0.8453039 0.043 0.4861878 0.048 0.3531672 0.1160221 0.1049724 0.033 0.5477358
5 161.205 409.024 33.4711 409.024 161.205 0.80891106 0.042 1.09876963 0.83928571 0.29084967 0.173 0.84530387 0.042 0.48958333 0.042 0.3463296 0.22099448 0.04972376 0.042 0.54843604
6 162.789 409.024 33.4711 409.024 162.789 0.80234594 0.034 1.09598896 0.85714286 0.31699346 0.23 0.84530387 0.034 0.47761194 0.035 0.32844638 0.23480663 0.04972376 0.034 0.54014939
7 159.107 409.024 33.4711 409.024 159.107 0.81716853 0.029 1.10005625 0.96428571 0.47058824 0.109 0.84530387 0.047 0.48648649 0.054 0.35148125 0.12707182 0.09944751 0.045 0.53536415
8 161.534 409.024 33.4711 409.024 161.534 0.80500117 0.033 1.09131611 0.91071429 0.39869281 0.179 0.84530387 0.042 0.47826087 0.042 0.33516988 0.19889503 0.06629834 0.036 0.5122549
9 159.943 409.024 33.4711 409.024 159.943 0.81760621 0.043 1.09192781 0.85714286 0.32352941 0.102 0.84530387 0.049 0.49450549 0.049 0.35671792 0.19337017 0.06077348 0.048 0.54038282
10 160.906 409.024 33.4711 409.024 160.906 0.81276261 0.042 1.08732917 0.82142857 0.2875817 0.093 0.84530387 0.047 0.49101796 0.047 0.35925201 0.1519337 0.08287293 0.042 0.53384687
11 160.723 409.024 33.4711 409.024 160.723 0.80581816 0.042 1.0980285 0.85714286 0.31372549 0.165 0.84530387 0.042 0.48 0.043 0.33298939 0.22099448 0.05524862 0.042 0.54341737
12 162.176 409.024 33.4711 409.024 162.176 0.81305439 0.023 1.10005625 0.96428571 0.47058824 0.094 0.8480663 0.042 0.49101796 0.042 0.35925201 0.1519337 0.08287293 0.041 0.51295518
13 159.844 409.024 33.4711 409.024 159.844 0.8061683 0.023 1.09047893 0.98214286 0.52614379 0.178 0.8480663 0.047 0.48913043 0.047 0.34902051 0.19889503 0.06077348 0.043 0.53536415
14 160.054 409.024 33.4711 409.024 160.054 0.81352124 0.024 1.09767791 0.98214286 0.50980392 0.109 0.84530387 0.049 0.48913043 0.049 0.34902051 0.19889503 0.06077348 0.045 0.53863212
15 160.774 409.024 33.4711 409.024 160.774 0.81063259 0.031 1.11945706 0.96428571 0.43137255 0.108 0.8480663 0.046 0.5026738 0.046 0.36505601 0.20718232 0.04972376 0.046 0.56477591
16 163.148 409.024 33.4711 409.024 163.148 0.79995331 0.028 1.08063622 0.91071429 0.41830065 0.172 0.8480663 0.036 0.46700508 0.036 0.31540651 0.23480663 0.05524862 0.036 0.51097106
17 162.263 409.024 33.4711 409.024 162.263 0.80383403 0.029 1.10507161 0.98214286 0.49346405 0.213 0.84530387 0.045 0.47368421 0.046 0.32774956 0.20441989 0.06629834 0.039 0.52205882
18 159.664 409.024 33.4711 409.024 159.664 0.8146884 0.045 1.1187444 0.8571429 0.2810458 0.178 0.8453039 0.045 0.5052632 0.045 0.3671799 0.2154696 0.0441989 0.045 0.5760971
19 160.039 409.024 33.4711 409.024 160.039 0.81495098 0.038 1.10982799 0.92857143 0.39215686 0.095 0.8480663 0.055 0.48275862 0.055 0.34541509 0.17127072 0.07734807 0.038 0.53641457
20 161.825 409.024 33.4711 409.024 161.825 0.79998249 0.029 1.0817297 0.96428571 0.50980392 0.106 0.84530387 0.046 0.4742268 0.046 0.32585993 0.22651934 0.05524862 0.046 0.52077498
21 159.803 409.024 33.4711 409.024 159.803 0.80952381 0.036 1.12658059 0.94642857 0.38888889 0.117 0.84530387 0.046 0.47715736 0.046 0.32844638 0.23480663 0.04972376 0.036 0.55753968
22 160.1 409.024 33.4711 409.024 160.1 0.81247082 0.026 1.1048079 0.96428571 0.46078431 0.166 0.84530387 0.047 0.49438202 0.047 0.35830773 0.18232044 0.06629834 0.039 0.54166667
23 161.749 409.024 33.4711 409.024 161.749 0.80190826 0.031 1.10321661 0.96428571 0.46405229 0.179 0.84530387 0.046 0.47236181 0.047 0.32234379 0.22928177 0.05524862 0.046 0.52556022
24 160.803 409.024 33.4711 409.024 160.803 0.81080766 0.031 1.10243294 0.94642857 0.43464052 0.242 0.84530387 0.045 0.48421053 0.047 0.34273352 0.19337017 0.06629834 0.043 0.53863212
25 160.182 409.024 33.4711 409.024 160.182 0.81340453 0.04 1.09674851 0.91071429 0.38888889 0.098 0.8480663 0.057 0.48837209 0.061 0.35848893 0.13259669 0.09392265 0.04 0.5218254
26 161.546 409.024 33.4711 409.024 161.546 0.80891106 0.026 1.10163272 0.96428571 0.46732026 0.094 0.84530387 0.043 0.48421053 0.043 0.34025143 0.21546961 0.05524862 0.043 0.53384687
27 159.836 409.024 33.4711 409.024 159.836 0.82221639 0.039 1.11152792 0.91071429 0.3627451 0.097 0.84530387 0.05 0.5 0.05 0.36456545 0.1878453 0.06077348 0.039 0.54796919
28 160.021 409.024 33.4711 409.024 160.021 0.81731443 0.035 1.10408557 0.91071429 0.37581699 0.172 0.8480663 0.043 0.48167539 0.043 0.33660361 0.21823204 0.05524862 0.038 0.53991597
29 160.234 409.024 33.4711 409.024 160.234 0.8110994 0.035 1.0912784 0.8928571 0.372549 0.114 0.8453039 0.046 0.4777778 0.046 0.3363239 0.1878453 0.0718232 0.035 0.5203081
30 162.866 409.024 33.4711 409.024 162.866 0.80856092 0.022 1.10209101 0.98214286 0.5 0.102 0.84530387 0.033 0.47115385 0.046 0.33668079 0.08563536 0.12707182 0.033 0.53839869
31 159.488 409.024 33.4711 409.024 159.488 0.80806489 0.029 1.08771577 0.96428571 0.49673203 0.114 0.84530387 0.051 0.49180328 0.051 0.35285072 0.1961326 0.06077348 0.051 0.53559757
32 162.073 409.024 33.4711 409.024 162.073 0.80497199 0.021 1.09228646 0.96428571 0.4869281 0.171 0.84530387 0.035 0.47179487 0.035 0.32234379 0.22928177 0.05524862 0.035 0.517507
33 161.792 409.024 33.4711 409.024 161.792 0.8044176 0.029 1.09055457 0.92857143 0.42810458 0.185 0.8480663 0.036 0.47 0.036 0.31809781 0.24309392 0.04972376 0.036 0.52229225
34 162.719 409.024 33.4711 409.024 162.719 0.80237512 0.025 1.08470717 0.96428571 0.50326797 0.1 0.8480663 0.043 0.48387097 0.043 0.34146896 0.20441989 0.06077348 0.043 0.52579365
35 161.959 409.024 33.4711 409.024 161.959 0.80187908 0.035 1.08416847 0.91071429 0.41176471 0.172 0.8480663 0.049 0.48618785 0.049 0.3465704 0.19060773 0.06629834 0.049 0.5210084
36 161.952 409.024 33.4711 409.024 161.952 0.81454248 0.036 1.12218179 0.875 0.29738562 0.152 0.84530387 0.036 0.5 0.036 0.35815603 0.2320442 0.03867403 0.036 0.57761438
37 159.838 409.024 33.4711 409.024 159.838 0.80850257 0.033 1.11433738 0.94642857 0.41176471 0.119 0.8480663 0.045 0.47236181 0.045 0.32151655 0.24033149 0.04972376 0.036 0.53489729
38 164.875 409.024 33.4711 409.024 164.875 0.796131 0.032 1.0980285 0.8571429 0.3137255 0.152 0.8453039 0.032 0.48 0.032 0.3309639 0.2430939 0.0441989 0.032 0.5434174
39 160.581 409.024 33.4711 409.024 160.581 0.8100782 0.032 1.0941433 0.94642857 0.45098039 0.116 0.84530387 0.061 0.49315068 0.061 0.37370242 0.09392265 0.11049724 0.048 0.5192577
40 162.79 409.024 33.4711 409.024 162.79 0.80613912 0.025 1.10005625 0.96428571 0.47058824 0.167 0.84530387 0.038 0.47668394 0.038 0.32940831 0.22375691 0.05524862 0.036 0.5288282
41 161.808 409.024 33.4711 409.024 161.808 0.81162465 0.043 1.0916227 0.82142857 0.28104575 0.168 0.84530387 0.045 0.49180328 0.045 0.35285072 0.1961326 0.06077348 0.043 0.54038282
42 159.722 409.024 33.4711 409.024 159.722 0.8143091 0.033 1.0990954 0.9464286 0.4411765 0.112 0.8480663 0.051 0.502924 0.051 0.3723226 0.1629834 0.0718232 0.05 0.5340803
43 159.692 409.024 33.4711 409.024 159.692 0.8088527 0.031 1.097466 0.9285714 0.4150327 0.16 0.8453039 0.048 0.4831461 0.048 0.3440479 0.1823204 0.0718232 0.041 0.5190243
44 162.421 409.024 33.4711 409.024 162.421 0.8090861 0.026 1.0922719 0.9285714 0.4248366 0.107 0.8508287 0.042 0.4831461 0.042 0.3440479 0.1823204 0.0718232 0.04 0.5305789
45 160.303 409.024 33.4711 409.024 160.303 0.8186566 0.042 1.1041825 0.8571429 0.3039216 0.157 0.8480663 0.043 0.4921466 0.054 0.3595423 0.1022099 0.1104972 0.042 0.5532213
46 162.231 409.024 33.4711 409.024 162.231 0.80488445 0.045 1.10512249 0.83928571 0.28104575 0.169 0.84530387 0.045 0.4973545 0.045 0.35746048 0.21270718 0.04972376 0.045 0.55823996
47 161.324 409.024 33.4711 409.024 161.324 0.8103408 0.039 1.09598896 0.85714286 0.31699346 0.172 0.8480663 0.039 0.47761194 0.047 0.3302284 0.14088398 0.09944751 0.039 0.54014939
48 160.789 409.024 33.4711 409.024 160.789 0.81273343 0.035 1.10593636 0.91071429 0.37254902 0.106 0.84530387 0.042 0.48453608 0.05 0.34284232 0.13259669 0.09944751 0.041 0.54341737
49 160.471 409.024 33.4711 409.024 160.471 0.80894024 0.047 1.10007396 0.85714286 0.31045752 0.234 0.84530387 0.049 0.48677249 0.05 0.34522676 0.20165746 0.06077348 0.047 0.54668534
50 161.218 409.024 33.4711 409.024 161.218 0.8057598 0.031 1.10626183 0.92857143 0.39869281 0.111 0.84530387 0.046 0.46987952 0.046 0.33316587 0.14917127 0.09392265 0.031 0.52987862
51 162.68 409.024 33.4711 409.024 162.68 0.7994281 0.036 1.09316068 0.89285714 0.36928105 0.114 0.84530387 0.047 0.48648649 0.047 0.34522676 0.20165746 0.06077348 0.045 0.5305789
52 159.207 409.024 33.4711 409.024 159.207 0.81162465 0.031 1.11954363 0.94642857 0.40196078 0.23 0.84530387 0.047 0.48913043 0.047 0.34902051 0.19889503 0.06077348 0.031 0.54446779
53 160.416 409.024 33.4711 409.024 160.416 0.81188725 0.039 1.10418253 0.85714286 0.30392157 0.161 0.84530387 0.039 0.48730964 0.042 0.3465704 0.19060773 0.06629834 0.039 0.55322129
54 161.464 409.024 33.4711 409.024 161.464 0.80964052 0.024 1.11419562 0.98214286 0.47385621 0.159 0.8480663 0.04 0.47619048 0.04 0.33040619 0.21270718 0.06077348 0.038 0.517507
55 161.592 409.024 33.4711 409.024 161.592 0.8060516 0.028 1.0877158 0.9642857 0.496732 0.169 0.8480663 0.05 0.4705882 0.058 0.342907 0.1022099 0.1160221 0.041 0.5089869
56 160.588 409.024 33.4711 409.024 160.588 0.8107785 0.045 1.1041825 0.8571429 0.3039216 0.236 0.8453039 0.045 0.4873096 0.045 0.3414863 0.2348066 0.0441989 0.045 0.5532213
57 159.297 409.024 33.4711 409.024 159.297 0.8173436 0.035 1.11954363 0.94642857 0.40196078 0.174 0.84530387 0.046 0.48677249 0.046 0.34393334 0.21270718 0.05524862 0.038 0.54948646
58 161.367 409.024 33.4711 409.024 161.367 0.80465103 0.028 1.10962582 0.96428571 0.45098039 0.11 0.84530387 0.04 0.46231156 0.058 0.32646083 0.06077348 0.14364641 0.035 0.51552288
59 161.041 409.024 33.4711 409.024 161.041 0.8099031 0.038 1.0980285 0.8571429 0.3137255 0.171 0.8453039 0.041 0.4867725 0.043 0.3479672 0.179558 0.0718232 0.038 0.5434174
60 161.526 409.024 33.4711 409.024 161.526 0.80853175 0.03 1.105799 0.94642857 0.42810458 0.15 0.84530387 0.057 0.46511628 0.057 0.3515913 0.04696133 0.14364641 0.03 0.518324
61 161.395 409.024 33.4711 409.024 161.395 0.80864846 0.035 1.10075453 0.89285714 0.35620915 0.102 0.85082873 0.039 0.47761194 0.046 0.34284232 0.13259669 0.09944751 0.039 0.54014939
62 159.184 409.024 33.4711 409.024 159.184 0.8141048 0.034 1.1112464 0.9642857 0.4477124 0.165 0.8453039 0.061 0.4814815 0.062 0.3531672 0.1160221 0.1049724 0.054 0.5225257
63 157.726 409.024 33.4711 409.024 157.726 0.82291667 0.045 1.09810444 0.82142857 0.27124183 0.144 0.84530387 0.048 0.50561798 0.048 0.37256756 0.18232044 0.06077348 0.048 0.55193744
64 160.556 409.024 33.4711 409.024 160.556 0.8156513 0.038 1.1115279 0.9107143 0.3627451 0.156 0.8453039 0.051 0.4875 0.052 0.3595423 0.1022099 0.1104972 0.038 0.5479692
65 160.375 409.024 33.4711 409.024 160.375 0.8107201 0.048 1.1166471 0.8571429 0.2843137 0.278 0.8453039 0.048 0.5026178 0.048 0.3634075 0.218232 0.0441989 0.048 0.5728291
66 162.212 409.024 33.4711 409.024 162.212 0.80260854 0.029 1.09909544 0.94642857 0.44117647 0.103 0.84530387 0.039 0.46464646 0.039 0.31198451 0.23756906 0.05524862 0.035 0.51552288
