id x y y_obs n_obs p_obs total_nb_intros mean_nb_intros var_nb_intros y_sim n_sim p_sim mean_first_invasion var_first_invasion mean_last_invasion var_last_invasion L empty_L max_L empty_score score
3944 114000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 163.65 409.024 33.4711 409.024 163.65
3943 112000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 163.65 409.024 33.4711 409.024 163.65
3942 110000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 163.65 409.024 33.4711 409.024 163.65
3941 108000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 163.65 409.024 33.4711 409.024 163.65
3940 106000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 163.65 409.024 33.4711 409.024 163.65
3939 104000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 163.65 409.024 33.4711 409.024 163.65
3938 102000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 163.65 409.024 33.4711 409.024 163.65
3937 100000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 163.65 409.024 33.4711 409.024 163.65
3936 98000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 163.65 409.024 33.4711 409.024 163.65
3935 96000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 163.65 409.024 33.4711 409.024 163.65
3934 94000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 163.65 409.024 33.4711 409.024 163.65
3933 92000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 163.65 409.024 33.4711 409.024 163.65
3932 90000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 163.65 409.024 33.4711 409.024 163.65
3931 88000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 163.65 409.024 33.4711 409.024 163.65
3930 86000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 163.65 409.024 33.4711 409.024 163.65
3929 84000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 163.65 409.024 33.4711 409.024 163.65
3928 82000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 163.65 409.024 33.4711 409.024 163.65
3927 80000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 163.65 409.024 33.4711 409.024 163.65
3926 78000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 163.65 409.024 33.4711 409.024 163.65
3925 76000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 163.65 409.024 33.4711 409.024 163.65
3924 74000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 163.65 409.024 33.4711 409.024 163.65
3923 72000 134000 0 0 0 1 0.001 0.000999 1 1000 0.001 21 0 21 0 163.65 409.024 33.4711 409.024 163.65
3922 70000 134000 0 0 0 1 0.001 0.000999 1 1000 0.001 22 0 22 0 163.65 409.024 33.4711 409.024 163.65
3921 68000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 163.65 409.024 33.4711 409.024 163.65
3920 66000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 163.65 409.024 33.4711 409.024 163.65
3919 64000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 163.65 409.024 33.4711 409.024 163.65
3918 62000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 163.65 409.024 33.4711 409.024 163.65
3917 60000 134000 0 0 0 1 0.001 0.000999 1 1000 0.001 19 0 19 0 163.65 409.024 33.4711 409.024 163.65
3916 58000 134000 0 0 0 1 0.001 0.000999 1 1000 0.001 21 0 21 0 163.65 409.024 33.4711 409.024 163.65
3915 56000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 163.65 409.024 33.4711 409.024 163.65
3914 54000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 163.65 409.024 33.4711 409.024 163.65
3913 52000 134000 0 0 0 1 0.001 0.000999 1 1000 0.001 23 0 23 0 163.65 409.024 33.4711 409.024 163.65
3912 50000 134000 0 0 0 1 0.001 0.000999 1 1000 0.001 23 0 23 0 163.65 409.024 33.4711 409.024 163.65
3911 48000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 163.65 409.024 33.4711 409.024 163.65
3910 46000 134000 0 0 0 6 0.006 0.011964 4 1000 0.004 19.75 16.1875 21.25 17.6875 163.65 409.024 33.4711 409.024 163.65
3909 44000 134000 0 0 0 5 0.005 0.006975 4 1000 0.004 21.5 2.75 21.75 1.6875 163.65 409.024 33.4711 409.024 163.65
3908 42000 134000 0 0 0 4 0.004 0.009984 2 1000 0.002 20 9 21 4 163.65 409.024 33.4711 409.024 163.65
3907 40000 134000 0 0 0 4 0.004 0.005984 3 1000 0.003 21 2 21.3333 1.55556 163.65 409.024 33.4711 409.024 163.65
3906 38000 134000 0 0 0 4 0.004 0.005984 3 1000 0.003 20.6667 8.22222 21.3333 4.22222 163.65 409.024 33.4711 409.024 163.65
3905 36000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 163.65 409.024 33.4711 409.024 163.65
3904 34000 134000 0 0 0 1 0.001 0.000999 1 1000 0.001 23 0 23 0 163.65 409.024 33.4711 409.024 163.65
3903 32000 134000 0 0 0 2 0.002 0.001996 2 1000 0.002 19 25 19 25 163.65 409.024 33.4711 409.024 163.65
3902 30000 134000 0 0 0 4 0.004 0.005984 3 1000 0.003 22 0.666667 22.3333 0.888889 163.65 409.024 33.4711 409.024 163.65
