rep t logL AIC nb_colonies AUC BOYCE_index BOYCE_pvalue
1 1 408.332552565318 826.665105130637 0.003 0.5 NA NA
1 2 408.332552565318 826.665105130637 0.003 0.5 NA NA
1 3 408.337546076961 826.675092153922 0.008 0.505660597572362 NA NA
1 4 406.967216826748 823.934433653495 0.026 0.520249766573296 NA NA
1 5 405.614883574646 821.229767149291 0.063 0.516106442577031 0.866025403784439 0.333333333333333
1 6 404.263498087297 818.526996174595 0.1 0.522554855275444 1 0.333333333333333
1 7 399.643283125947 809.286566251893 0.172 0.535830999066293 1 0.333333333333333
1 8 396.519268428095 803.03853685619 0.274 0.543096405228758 1 0.0833333333333333
1 9 388.657540194467 787.315080388933 0.393 0.600431839402428 -0.1 0.95
1 10 379.814769321228 769.629538642455 0.65 0.620769140989729 -0.666693722394714 0.101920460246182
1 11 372.103021866147 754.206043732294 0.915 0.628968253968254 0.118661113133642 0.761084066531758
1 12 361.599140708242 733.198281416484 1.244 0.649889122315593 -0.441914586150859 0.173559069899397
1 13 349.426448900336 708.852897800672 1.781 0.661297852474323 0.770077473690976 0.00127297508432445
1 14 337.068711685756 684.137423371512 2.584 0.681460084033613 0.0339430215388057 0.88387138242744
1 15 316.440569124378 642.881138248757 3.799 0.703548085901027 0.910766312866902 2.62067223613671e-10
1 16 294.57596918028 599.15193836056 5.414 0.729487628384687 0.963874443580723 1.26578639223143e-17
1 17 265.523103218675 541.046206437351 8.535 0.75405578898226 0.972497151502063 2.24556054935929e-24
1 18 246.885626690318 503.771253380635 12.388 0.751050420168067 0.967813242498082 5.34395683042374e-28
1 19 231.49635719041 472.992714380821 16.322 0.753880718954248 0.969030072991515 1.20661274730891e-32
1 20 217.100236812469 444.200473624938 21.193 0.751108776844071 0.844898363417791 1.69340972132329e-18
1 21 205.600037520655 421.20007504131 27.49 0.747169701213819 0.871529572860004 1.32062297302075e-24
1 22 195.517497722573 401.034995445146 34.166 0.749562324929972 0.597345524447843 5.13465999798908e-10
1 23 185.711355955607 381.422711911214 42.414 0.751546451914099 0.81069288325085 1.62069356594092e-24
1 24 179.498619550949 368.997239101898 52.389 0.750904528478058 0.857862171300434 7.06561980428842e-34
1 25 176.417407242676 362.834814485352 64.159 0.747519841269841 0.96751935464601 6.56877084839813e-79
2 1 409.029691767148 828.059383534296 0.006 0.496732026143791 NA NA
2 2 407.937061550157 825.874123100314 0.014 0.505660597572362 NA NA
