id x y y_obs n_obs p_obs total_nb_intros mean_nb_intros var_nb_intros y_sim n_sim p_sim mean_first_invasion var_first_invasion mean_last_invasion var_last_invasion L empty_L max_L empty_score score
3944 114000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 178.242 409.024 33.4711 409.024 178.242
3943 112000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 178.242 409.024 33.4711 409.024 178.242
3942 110000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 178.242 409.024 33.4711 409.024 178.242
3941 108000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 178.242 409.024 33.4711 409.024 178.242
3940 106000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 178.242 409.024 33.4711 409.024 178.242
3939 104000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 178.242 409.024 33.4711 409.024 178.242
3938 102000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 178.242 409.024 33.4711 409.024 178.242
3937 100000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 178.242 409.024 33.4711 409.024 178.242
3936 98000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 178.242 409.024 33.4711 409.024 178.242
3935 96000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 178.242 409.024 33.4711 409.024 178.242
3934 94000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 178.242 409.024 33.4711 409.024 178.242
3933 92000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 178.242 409.024 33.4711 409.024 178.242
3932 90000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 178.242 409.024 33.4711 409.024 178.242
3931 88000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 178.242 409.024 33.4711 409.024 178.242
3930 86000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 178.242 409.024 33.4711 409.024 178.242
3929 84000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 178.242 409.024 33.4711 409.024 178.242
3928 82000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 178.242 409.024 33.4711 409.024 178.242
3927 80000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 178.242 409.024 33.4711 409.024 178.242
3926 78000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 178.242 409.024 33.4711 409.024 178.242
3925 76000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 178.242 409.024 33.4711 409.024 178.242
3924 74000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 178.242 409.024 33.4711 409.024 178.242
3923 72000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 178.242 409.024 33.4711 409.024 178.242
3922 70000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 178.242 409.024 33.4711 409.024 178.242
3921 68000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 178.242 409.024 33.4711 409.024 178.242
3920 66000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 178.242 409.024 33.4711 409.024 178.242
3919 64000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 178.242 409.024 33.4711 409.024 178.242
3918 62000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 178.242 409.024 33.4711 409.024 178.242
3917 60000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 178.242 409.024 33.4711 409.024 178.242
3916 58000 134000 0 0 0 1 0.001 0.000999 1 1000 0.001 19 0 19 0 178.242 409.024 33.4711 409.024 178.242
3915 56000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 178.242 409.024 33.4711 409.024 178.242
3914 54000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 178.242 409.024 33.4711 409.024 178.242
3913 52000 134000 0 0 0 1 0.001 0.000999 1 1000 0.001 21 0 21 0 178.242 409.024 33.4711 409.024 178.242
3912 50000 134000 0 0 0 1 0.001 0.000999 1 1000 0.001 24 0 24 0 178.242 409.024 33.4711 409.024 178.242
3911 48000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 178.242 409.024 33.4711 409.024 178.242
3910 46000 134000 0 0 0 1 0.001 0.000999 1 1000 0.001 24 0 24 0 178.242 409.024 33.4711 409.024 178.242
3909 44000 134000 0 0 0 1 0.001 0.000999 1 1000 0.001 22 0 22 0 178.242 409.024 33.4711 409.024 178.242
3908 42000 134000 0 0 0 8 0.008 0.015936 5 1000 0.005 21.8 1.36 22.6 1.04 178.242 409.024 33.4711 409.024 178.242
3907 40000 134000 0 0 0 11 0.011 0.044879 4 1000 0.004 20.5 4.25 22.75 4.6875 178.242 409.024 33.4711 409.024 178.242
3906 38000 134000 0 0 0 5 0.005 0.006975 4 1000 0.004 21.5 5.25 22 2.5 178.242 409.024 33.4711 409.024 178.242
3905 36000 134000 0 0 0 5 0.005 0.012975 2 1000 0.002 21 1 24 0 178.242 409.024 33.4711 409.024 178.242
3904 34000 134000 0 0 0 4 0.004 0.007984 2 1000 0.002 19.5 6.25 21.5 2.25 178.242 409.024 33.4711 409.024 178.242
3903 32000 134000 0 0 0 3 0.003 0.002991 3 1000 0.003 23.6667 0.222222 23.6667 0.222222 178.242 409.024 33.4711 409.024 178.242
