id x y y_obs n_obs p_obs total_nb_intros mean_nb_intros var_nb_intros y_sim n_sim p_sim mean_first_invasion var_first_invasion mean_last_invasion var_last_invasion L empty_L max_L empty_score score
3944 114000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.969 409.024 33.4711 409.024 153.969
3943 112000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.969 409.024 33.4711 409.024 153.969
3942 110000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.969 409.024 33.4711 409.024 153.969
3941 108000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.969 409.024 33.4711 409.024 153.969
3940 106000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.969 409.024 33.4711 409.024 153.969
3939 104000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.969 409.024 33.4711 409.024 153.969
3938 102000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.969 409.024 33.4711 409.024 153.969
3937 100000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.969 409.024 33.4711 409.024 153.969
3936 98000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.969 409.024 33.4711 409.024 153.969
3935 96000 134000 0 0 0 1 0.001 0.000999 1 1000 0.001 21 0 21 0 153.969 409.024 33.4711 409.024 153.969
3934 94000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.969 409.024 33.4711 409.024 153.969
3933 92000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.969 409.024 33.4711 409.024 153.969
3932 90000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.969 409.024 33.4711 409.024 153.969
3931 88000 134000 0 0 0 1 0.001 0.000999 1 1000 0.001 24 0 24 0 153.969 409.024 33.4711 409.024 153.969
3930 86000 134000 0 0 0 3 0.003 0.004991 2 1000 0.002 22.5 2.25 24 0 153.969 409.024 33.4711 409.024 153.969
3929 84000 134000 0 0 0 4 0.004 0.005984 3 1000 0.003 16.3333 10.8889 19.6667 4.22222 153.969 409.024 33.4711 409.024 153.969
3928 82000 134000 0 0 0 1 0.001 0.000999 1 1000 0.001 19 0 19 0 153.969 409.024 33.4711 409.024 153.969
3927 80000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.969 409.024 33.4711 409.024 153.969
3926 78000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.969 409.024 33.4711 409.024 153.969
3925 76000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.969 409.024 33.4711 409.024 153.969
3924 74000 134000 0 0 0 2 0.002 0.003996 1 1000 0.001 14 0 23 0 153.969 409.024 33.4711 409.024 153.969
3923 72000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.969 409.024 33.4711 409.024 153.969
3922 70000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.969 409.024 33.4711 409.024 153.969
3921 68000 134000 0 0 0 5 0.005 0.012975 2 1000 0.002 18 0 22.5 2.25 153.969 409.024 33.4711 409.024 153.969
3920 66000 134000 0 0 0 7 0.007 0.014951 4 1000 0.004 20.75 1.1875 21.75 0.1875 153.969 409.024 33.4711 409.024 153.969
3919 64000 134000 0 0 0 1 0.001 0.000999 1 1000 0.001 24 0 24 0 153.969 409.024 33.4711 409.024 153.969
3918 62000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.969 409.024 33.4711 409.024 153.969
3917 60000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.969 409.024 33.4711 409.024 153.969
3916 58000 134000 0 0 0 1 0.001 0.000999 1 1000 0.001 24 0 24 0 153.969 409.024 33.4711 409.024 153.969
3915 56000 134000 0 0 0 1 0.001 0.000999 1 1000 0.001 24 0 24 0 153.969 409.024 33.4711 409.024 153.969
3914 54000 134000 0 0 0 9 0.009 0.012919 7 1000 0.007 21.5714 4.2449 22.8571 2.40816 153.969 409.024 33.4711 409.024 153.969
3913 52000 134000 0 0 0 3 0.003 0.002991 3 1000 0.003 20.3333 20.2222 20.3333 20.2222 153.969 409.024 33.4711 409.024 153.969
3912 50000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.969 409.024 33.4711 409.024 153.969
3911 48000 134000 0 0 0 1 0.001 0.000999 1 1000 0.001 22 0 22 0 153.969 409.024 33.4711 409.024 153.969
3910 46000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.969 409.024 33.4711 409.024 153.969
3909 44000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.969 409.024 33.4711 409.024 153.969
3908 42000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.969 409.024 33.4711 409.024 153.969
3907 40000 134000 0 0 0 3 0.003 0.002991 3 1000 0.003 20.6667 3.55556 20.6667 3.55556 153.969 409.024 33.4711 409.024 153.969
3906 38000 134000 0 0 0 10 0.01 0.0239 6 1000 0.006 18.6667 7.55556 20.6667 2.22222 153.969 409.024 33.4711 409.024 153.969
3905 36000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.969 409.024 33.4711 409.024 153.969
3904 34000 134000 0 0 0 1 0.001 0.000999 1 1000 0.001 7 0 7 0 153.969 409.024 33.4711 409.024 153.969
3903 32000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.969 409.024 33.4711 409.024 153.969
3902 30000 134000 0 0 0 1 0.001 0.000999 1 1000 0.001 18 0 18 0 153.969 409.024 33.4711 409.024 153.969
3901 28000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.969 409.024 33.4711 409.024 153.969
3900 26000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.969 409.024 33.4711 409.024 153.969
3899 24000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 153.969 409.024 33.4711 409.024 153.969
3898 22000 134000 0 0 0 1 0.001 0.000999 1 1000 0.001 24 0 24 0 153.969 409.024 33.4711 409.024 153.969
3897 20000 134000 0 0 0 7 0.007 0.012951 5 1000 0.005 20.8 15.76 22.2 1.76 153.969 409.024 33.4711 409.024 153.969
3896 18000 134000 0 0 0 2 0.002 0.003996 1 1000 0.001 14 0 15 0 153.969 409.024 33.4711 409.024 153.969
3895 16000 134000 0 0 0 1 0.001 0.000999 1 1000 0.001 14 0 14 0 153.969 409.024 33.4711 409.024 153.969
