repetition start_node end_node geodesic_dist euclidean_dist iteration
2 1931 1989 1 2000 0
3 1931 1931 0 0 0
4 1931 2046 3 4472.14 0
13 1931 2105 3 6000 0
19 1931 2106 4 6324.56 0
20 1931 1931 0 0 0
21 1931 1874 2 2828.43 0
26 1931 2105 3 6000 0
27 1931 1932 1 2000 0
31 1931 2163 4 8000 0
32 1931 1989 1 2000 0
33 1931 1931 0 0 0
35 1931 1641 49 10000 0
36 1931 1875 3 4472.14 0
41 1931 2923 39 36055.5 0
46 1931 1989 1 2000 0
48 1931 1932 1 2000 0
51 1931 1931 0 0 0
52 1931 2047 2 4000 0
53 1931 1931 0 0 0
57 1931 2766 49 53851.6 0
58 1931 2047 2 4000 0
64 1931 1932 1 2000 0
65 1931 1876 4 6324.56 0
68 1931 2045 6 5656.85 0
72 1931 1931 0 0 0
73 1931 1931 0 0 0
76 1931 1931 0 0 0
77 1931 3271 85 47539.5 0
87 1931 3276 90 50990.2 0
88 1931 1931 0 0 0
88 1931 1920 23 22000 0
98 1931 1986 8 6324.56 0
102 1931 1932 1 2000 0
109 1931 1932 1 2000 0
117 1931 1931 0 0 0
118 1931 1931 0 0 0
119 1931 1934 3 6000 0
124 1931 1931 0 0 0
132 1931 2982 143 38626.4 0
139 1931 1931 0 0 0
146 1931 1806 19 18439.1 0
151 1931 2165 6 8944.27 0
151 1931 2106 4 6324.56 0
164 1931 1931 0 0 0
165 1931 1932 1 2000 0
168 1931 1875 3 4472.14 0
176 1931 1758 6 6324.56 0
179 1931 1874 2 2828.43 0
187 1931 1989 1 2000 0
190 1931 2103 15 7211.1 0
193 1931 2105 3 6000 0
197 1931 2865 24 34176 0
204 1931 1931 0 0 0
207 1931 1809 26 12649.1 0
207 1931 1931 0 0 0
212 1931 1875 3 4472.14 0
218 1931 1761 9 10000 0
220 1931 2105 3 6000 0
220 1931 1931 0 0 0
229 1931 1931 0 0 0
244 1931 2047 2 4000 0
245 1931 1474 21 21260.3 0
248 1931 1937 8 12000 0
253 1931 1986 6 6324.56 0
254 1931 1870 354 6324.56 0
261 1931 1756 60 6324.56 0
265 1931 1931 0 0 0
265 1931 1943 26 24000 0
268 1931 2047 2 4000 0
268 1931 1874 2 2828.43 0
269 1931 1931 0 0 0
286 1931 1931 0 0 0
294 1931 1931 0 0 0
295 1931 1932 1 2000 0
296 1931 2407 148 28844.4 0
303 1931 1931 0 0 0
306 1931 1818 5 7211.1 0
310 1931 1874 2 2828.43 0
312 1931 1932 1 2000 0
316 1931 1821 50 12649.1 0
323 1931 1931 0 0 0
336 1931 1819 6 8944.27 0
339 1931 2463 33 26907.2 0
346 1931 2113 31 17088 0
347 1931 1932 1 2000 0
351 1931 1645 15 12806.2 0
355 1931 1997 15 16124.5 0
356 1931 1932 1 2000 0
362 1931 1875 3 4472.14 0
369 1931 1473 48 20000 0
373 1931 1872 4 2828.43 0
377 1931 1278 76 37202.2 0
380 1931 1990 107 2828.43 0
388 1931 1931 0 0 0
391 1931 1931 0 0 0
393 1931 2744 25 28071.3 0
395 1931 1931 0 0 0
409 1931 2217 19 12806.2 0
409 1931 1932 1 2000 0
410 1931 1297 27 23409.4 0
412 1931 2579 25 29732.1 0
423 1931 1931 0 0 0
429 1931 1932 1 2000 0
431 1931 1815 8 4000 0
435 1931 2223 7 10770.3 0
438 1931 1873 3 2000 0
441 1931 1931 0 0 0
446 1931 1931 0 0 0
448 1931 2224 8 11661.9 0
450 1931 1931 0 0 0
460 1931 1931 0 0 0
465 1931 1874 2 2828.43 0
466 1931 1931 0 0 0
467 1931 1932 1 2000 0
470 1931 1931 0 0 0
471 1931 2165 8 8944.27 0
475 1931 1931 0 0 0
476 1931 2048 17 4472.14 0
481 1931 2038 19 18439.1 0
484 1931 2047 2 4000 0
485 1931 1932 1 2000 0
488 1931 1931 0 0 0
492 1931 1931 0 0 0
494 1931 1931 0 0 0
495 1931 1952 285 42000 0
495 1931 1989 1 2000 0
500 1931 1931 0 0 0
500 1931 1862 204 22090.7 0
507 1931 2047 2 4000 0
508 1931 1932 1 2000 0
508 1931 1931 0 0 0
509 1931 1931 0 0 0
509 1931 2519 26 25612.5 0
513 1931 1931 0 0 0
515 1931 317 58 59464.3 0
517 1931 1239 37 25298.2 0
520 1931 1989 1 2000 0
521 1931 3168 473 56639.2 0
525 1931 1931 0 0 0
527 1931 2046 3 4472.14 0
534 1931 1931 0 0 0
539 1931 2104 14 6324.56 0
542 1931 1931 0 0 0
555 1931 1544 34 40496.9 0
557 1931 2286 711 18439.1 0
558 1931 1644 18 11661.9 0
560 1931 1690 25 19697.7 0
568 1931 2047 2 4000 0
572 1931 1992 82 6324.56 0
576 1931 1931 0 0 0
576 1931 1990 33 2828.43 0
586 1931 2162 7 8246.21 0
586 1931 1989 1 2000 0
589 1931 1989 1 2000 0
596 1931 1932 1 2000 0
599 1931 1931 0 0 0
601 1931 2455 15 18439.1 0
603 1931 1928 9 6000 0
608 1931 1931 0 0 0
609 1931 1989 1 2000 0
610 1931 1875 3 4472.14 0
610 1931 1931 0 0 0
614 1931 1931 0 0 0
618 1931 1931 0 0 0
619 1931 2048 7 4472.14 0
620 1931 1933 2 4000 0
621 1931 1639 40 10770.3 0
623 1931 1931 0 0 0
623 1931 1994 12 10198 0
623 1931 1931 0 0 0
629 1931 1989 1 2000 0
633 1931 1877 5 8246.21 0
634 1931 2498 244 32802.4 0
642 1931 1931 0 0 0
646 1931 2871 88 40000 0
659 1931 1704 11 12806.2 0
659 1931 2046 5 4472.14 0
663 1931 1931 0 0 0
666 1931 1931 0 0 0
671 1931 1931 0 0 0
672 1931 1931 0 0 0
684 1931 1980 191 18110.8 0
691 1931 2224 10 11661.9 0
700 1931 2163 6 8000 0
702 1931 824 245 39293.8 0
703 1931 1932 1 2000 0
708 1931 1813 10 5656.85 0
720 1931 2221 7 10000 0
730 1931 1989 1 2000 0
734 1931 2457 31 19697.7 0
736 1931 1870 78 6324.56 0
739 1931 2166 23 10000 0
740 1931 2047 2 4000 0
741 1931 1761 9 10000 0
743 1931 1932 1 2000 0
753 1931 1928 7 6000 0
753 1931 1931 0 0 0
755 1931 1931 0 0 0
766 1931 1934 7 6000 0
767 1931 2105 3 6000 0
780 1931 2168 28 12806.2 0
783 1931 1931 0 0 0
787 1931 1293 23 22000 0
787 1931 2104 4 6324.56 0
789 1931 2397 12 16492.4 0
791 1931 2105 3 6000 0
791 1931 2251 882 60827.6 0
795 1931 1931 0 0 0
803 1931 2221 5 10000 0
807 1931 1931 0 0 0
812 1931 1698 67 8246.21 0
813 1931 1931 0 0 0
818 1931 3558 41 56320.5 0
819 1931 1931 0 0 0
821 1931 1931 0 0 0
824 1931 1931 0 0 0
827 1931 1748 30 18973.7 0
829 1931 1931 0 0 0
830 1931 1931 0 0 0
834 1931 2056 15 18439.1 0
840 1931 1931 0 0 0
841 1931 1754 1742 8485.28 0
845 1931 1420 333 28425.3 0
849 1931 1989 1 2000 0
849 1931 1931 0 0 0
850 1931 1934 3 6000 0
854 1931 1931 0 0 0
859 1931 1931 0 0 0
884 1931 1760 6 8485.28 0
897 1931 1931 0 0 0
900 1931 2104 4 6324.56 0
903 1931 2171 14 17888.5 0
903 1931 1932 1 2000 0
904 1931 2047 2 4000 0
913 1931 1932 1 2000 0
914 1931 1875 3 4472.14 0
915 1931 2107 1340 7211.1 0
920 1931 1805 801 20396.1 0
923 1931 1931 0 0 0
929 1931 1862 35 22090.7 0
932 1931 1989 1 2000 0
932 1931 2104 4 6324.56 0
932 1931 2507 79 21540.7 0
935 1931 1989 1 2000 0
936 1931 1872 4 2828.43 0
936 1931 2621 60 26832.8 0
938 1931 1817 4 5656.85 0
957 1931 1989 1 2000 0
960 1931 1931 0 0 0
961 1931 1990 75 2828.43 0
965 1931 1931 0 0 0
965 1931 2046 5 4472.14 0
969 1931 1931 0 0 0
972 1931 2112 24 15231.5 0
984 1931 1931 0 0 0
986 1931 1931 0 0 0
988 1931 1879 9 12165.5 0
993 1931 1931 0 0 0
995 1931 2577 25 27202.9 0
999 1931 1931 0 0 0
999 1931 1695 16 11313.7 0
1000 1931 1931 0 0 0
87 3276 3048 10 11313.7 1
77 3271 3272 3 2000 1
197 2865 2923 1 2000 1
412 2579 2637 1 2000 1
995 2577 2693 2 4000 1
339 2463 2756 36 11661.9 1
557 2286 2286 0 0 1
448 2224 2164 3 4472.14 1
720 2221 2630 10 15231.5 1
803 2221 2227 610 12000 1
151 2165 1991 5 6000 1
471 2165 2224 2 2828.43 1
972 2112 2112 0 0 1
19 2106 2823 478 48373.5 1
151 2106 2168 35 8246.21 1
539 2104 2106 2 4000 1
58 2047 2047 0 0 1
268 2047 2047 0 0 1
484 2047 898 57 45650.8 1
507 2047 1932 3 4472.14 1
4 2046 2046 0 0 1
355 1997 2179 49 17088 1
961 1990 1819 8 8485.28 1
32 1989 2047 1 2000 1
46 1989 2049 9 4472.14 1
46 1989 2047 1 2000 1
187 1989 2810 140 33286.6 1
586 1989 2046 46 2828.43 1
589 1989 2164 4 6324.56 1
629 1989 2390 14 17204.7 1
98 1986 1986 0 0 1
98 1986 1986 0 0 1
347 1932 1932 0 0 1
347 1932 1874 1 2000 1
508 1932 2106 39 6000 1
596 1932 1874 1 2000 1
6 1931 1932 1 2000 1
8 1931 1927 16 8000 1
16 1931 1931 0 0 1
22 1931 1925 31 12000 1
22 1931 2047 2 4000 1
27 1931 1931 0 0 1
27 1931 1931 0 0 1
29 1931 2163 4 8000 1
30 1931 1931 0 0 1
32 1931 1920 25 22000 1
32 1931 1976 20 26076.8 1
33 1931 1932 1 2000 1
34 1931 1052 52 34985.7 1
44 1931 1931 0 0 1
48 1931 1931 0 0 1
49 1931 1702 9 10000 1
55 1931 1984 22 10198 1
57 1931 2521 144 28284.3 1
58 1931 1814 5 4472.14 1
60 1931 1989 1 2000 1
61 1931 3813 94 82462.1 1
66 1931 1221 40 36878.2 1
69 1931 1415 35 21633.3 1
70 1931 2338 28 14142.1 1
73 1931 1931 0 0 1
82 1931 1810 58 10770.3 1
88 1931 2455 13 18439.1 1
89 1931 2047 2 4000 1
95 1931 1931 0 0 1
100 1931 1931 0 0 1
101 1931 1989 1 2000 1
103 1931 1238 21 24738.6 1
103 1931 1052 104 34985.7 1
105 1931 1931 0 0 1
106 1931 1932 1 2000 1
110 1931 1933 2 4000 1
113 1931 2049 8 5656.85 1
119 1931 2576 300 26076.8 1
120 1931 1820 19 10770.3 1
121 1931 2165 6 8944.27 1
125 1931 1699 8 8000 1
125 1931 2104 4 6324.56 1
126 1931 2048 17 4472.14 1
135 1931 1417 65 24083.2 1
137 1931 1926 9 10000 1
146 1931 1931 0 0 1
149 1931 1639 802 10770.3 1
151 1931 2455 13 18439.1 1
157 1931 1931 0 0 1
159 1931 1932 1 2000 1
160 1931 1931 0 0 1
162 1931 1989 1 2000 1
167 1931 1007 42 32984.8 1
168 1931 1874 2 2828.43 1
169 1931 1931 0 0 1
174 1931 1975 21 28071.3 1
174 1931 1759 5 7211.1 1
174 1931 1931 0 0 1
183 1931 1641 24 10000 1
184 1931 1931 0 0 1
185 1931 2221 7 10000 1
194 1931 1874 2 2828.43 1
196 1931 1931 0 0 1
198 1931 1759 5 7211.1 1
212 1931 1876 4 6324.56 1
228 1931 1931 0 0 1
243 1931 2224 8 11661.9 1
244 1931 1931 0 0 1
251 1931 1875 3 4472.14 1
252 1931 2104 4 6324.56 1
253 1931 1990 210 2828.43 1
255 1931 1876 4 6324.56 1
256 1931 2105 3 6000 1
262 1931 1874 2 2828.43 1
262 1931 1931 0 0 1
262 1931 1864 76 18110.8 1
264 1931 2222 16 10198 1
266 1931 2106 6 6324.56 1
269 1931 1874 2 2828.43 1
280 1931 1931 0 0 1
282 1931 1993 11 8246.21 1
286 1931 1931 0 0 1
288 1931 1931 0 0 1
295 1931 1931 0 0 1
299 1931 1931 0 0 1
299 1931 2455 13 18439.1 1
301 1931 1932 1 2000 1
307 1931 1931 0 0 1
308 1931 1127 178 32249 1
312 1931 2111 27 13416.4 1
314 1931 1877 5 8246.21 1
318 1931 1931 0 0 1
319 1931 1931 0 0 1
319 1931 1996 12 14142.1 1
323 1931 1932 1 2000 1
324 1931 2280 9 12165.5 1
330 1931 1931 0 0 1
330 1931 1817 4 5656.85 1
332 1931 1819 6 8944.27 1
335 1931 1932 1 2000 1
335 1931 1570 1652 28635.6 1
335 1931 893 147 37947.3 1
338 1931 1698 11 8246.21 1
341 1931 2281 8 12649.1 1
341 1931 1931 0 0 1
344 1931 1703 8 11313.7 1
350 1931 1931 0 0 1
352 1931 1873 299 2000 1
355 1931 1641 163 10000 1
356 1931 1931 0 0 1
362 1931 1352 21 20099.8 1
362 1931 2050 15 7211.1 1
362 1931 1932 1 2000 1
363 1931 1931 0 0 1
365 1931 1931 0 0 1
366 1931 2278 9 12165.5 1
372 1931 2059 20 24331.1 1
382 1931 1931 0 0 1
382 1931 2046 5 4472.14 1
387 1931 2103 213 7211.1 1
390 1931 1112 1028 31305 1
