id x y y_obs n_obs p_obs total_nb_intros mean_nb_intros var_nb_intros y_sim n_sim p_sim mean_first_invasion var_first_invasion mean_last_invasion var_last_invasion L empty_L max_L empty_score score
3944 114000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 159.631 409.024 33.4711 409.024 159.631
3943 112000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 159.631 409.024 33.4711 409.024 159.631
3942 110000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 159.631 409.024 33.4711 409.024 159.631
3941 108000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 159.631 409.024 33.4711 409.024 159.631
3940 106000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 159.631 409.024 33.4711 409.024 159.631
3939 104000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 159.631 409.024 33.4711 409.024 159.631
3938 102000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 159.631 409.024 33.4711 409.024 159.631
3937 100000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 159.631 409.024 33.4711 409.024 159.631
3936 98000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 159.631 409.024 33.4711 409.024 159.631
3935 96000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 159.631 409.024 33.4711 409.024 159.631
3934 94000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 159.631 409.024 33.4711 409.024 159.631
3933 92000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 159.631 409.024 33.4711 409.024 159.631
3932 90000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 159.631 409.024 33.4711 409.024 159.631
3931 88000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 159.631 409.024 33.4711 409.024 159.631
3930 86000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 159.631 409.024 33.4711 409.024 159.631
3929 84000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 159.631 409.024 33.4711 409.024 159.631
3928 82000 134000 0 0 0 1 0.001 0.000999 1 1000 0.001 22 0 22 0 159.631 409.024 33.4711 409.024 159.631
3927 80000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 159.631 409.024 33.4711 409.024 159.631
3926 78000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 159.631 409.024 33.4711 409.024 159.631
3925 76000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 159.631 409.024 33.4711 409.024 159.631
3924 74000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 159.631 409.024 33.4711 409.024 159.631
3923 72000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 159.631 409.024 33.4711 409.024 159.631
3922 70000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 159.631 409.024 33.4711 409.024 159.631
3921 68000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 159.631 409.024 33.4711 409.024 159.631
3920 66000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 159.631 409.024 33.4711 409.024 159.631
3919 64000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 159.631 409.024 33.4711 409.024 159.631
3918 62000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 159.631 409.024 33.4711 409.024 159.631
3917 60000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 159.631 409.024 33.4711 409.024 159.631
3916 58000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 159.631 409.024 33.4711 409.024 159.631
3915 56000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 159.631 409.024 33.4711 409.024 159.631
3914 54000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 159.631 409.024 33.4711 409.024 159.631
3913 52000 134000 0 0 0 2 0.002 0.001996 2 1000 0.002 24 0 24 0 159.631 409.024 33.4711 409.024 159.631
3912 50000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 159.631 409.024 33.4711 409.024 159.631
3911 48000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 159.631 409.024 33.4711 409.024 159.631
3910 46000 134000 0 0 0 0 0 0 0 1000 0 0 0 0 0 159.631 409.024 33.4711 409.024 159.631
